artists,track_name,URL_Found,Whosampled_URL,Real_Year,Sampled_By_Count,Is_Sample_Of,Covered_By_Count,Is_Cover_Of,Remixed_By_Count,Is_Remix_Of,track_id,popularity,duration_ms,danceability,energy,speechiness,acousticness,instrumentalness,loudness,liveness,valence,track_genre,tsne_x,tsne_y,cluster_label
Jordan Davis;Luke Bryan,Buy Dirt,True,https://www.whosampled.com/Jordan-Davis/Buy-Dirt/,2021,0,0,1,0,0,0,47etYUs12o0yYHd2bQ7Hel,0,167480,58.6,55.900000000000006,5.0,63.9,0.0,74.11600279524808,8.72,43.7,country,34.95904,-1.1531184,2
Justin Bieber,Ghost,True,https://www.whosampled.com/Justin-Bieber/Ghost/,2021,1,0,10,0,0,0,6I3mqTwhRpn34SLVafSH7G,88,153190,60.1,74.1,4.78,18.5,0.00291,79.50151409270907,41.5,44.1,pop,-19.987593,-20.962513,7
Tai Verdes,A-O-K,True,https://www.whosampled.com/Tai-Verdes/A-O-K/,2021,0,0,0,0,2,0,1sx0XsWUusUoPstbvokZjP,77,173640,73.1,62.6,8.05,12.5,0.0,73.21220591660843,18.3,86.2,indie-pop,-10.652285,37.6038,1
Drake;Travis Scott,Fair Trade (with Travis Scott),True,https://www.whosampled.com/Drake/Fair-Trade/,2021,2,0,1,0,0,0,40iJIUlhi6renaREYGeIDS,83,291175,66.60000000000001,46.5,26.0,5.029999999999999,0.0,65.63708362450501,21.5,29.2,hip-hop,0.6784149,-5.7426596,0
Kenny Chesney,Knowing You,True,https://www.whosampled.com/Kenny-Chesney/Knowing-You/,2020,0,0,1,0,0,0,1ERoFNNh3shILiAOFWjlgg,0,226266,56.8,56.2,2.58,23.0,0.000341,76.93454460750058,11.9,17.8,country,10.080944,-20.107403,5
Kane Brown;blackbear,Memory,True,https://www.whosampled.com/Kane-Brown/Memory/,2021,0,0,2,0,0,0,34chhNX59Wo9HMFCsI3K8Y,72,153337,43.4,88.9,5.09,39.5,0.0,78.96575821104122,27.3,84.5,country,3.322441,27.206911,1
Lil Tjay;Fivio Foreign;Kay Flock,Not In The Mood (feat. Fivio Foreign & Kay Flock),True,https://www.whosampled.com/Lil-Tjay/Not-In-The-Mood/,2021,0,0,1,0,0,0,25GyyK9CyZRiDCsPY51fIT,69,150475,54.50000000000001,82.0,27.500000000000004,9.51,0.0,84.53296063358955,29.0,35.7,r-n-b,-30.814466,-24.866697,3
Doja Cat,Woman,True,https://www.whosampled.com/Doja-Cat/Woman/,2021,1,0,3,0,0,0,6Uj1ctrBOjOas8xZXGqKk4,88,172626,82.39999999999999,76.4,8.540000000000001,8.88,0.294,85.9958071278826,11.7,88.1,dance,-20.114557,38.041046,4
Cody Johnson,'Til You Can't,True,https://www.whosampled.com/Cody-Johnson/%27Til-You-Can%27t/,2021,0,0,1,0,0,0,02HqnDssYA62iGapkpJIkJ,1,224213,50.1,81.5,4.36,5.13,0.0,82.78127183787561,10.6,46.0,country,-23.996262,-14.838224,3
Michael Ray,Whiskey and Rain,True,https://www.whosampled.com/Michael-Ray/Whiskey-and-Rain/,2021,0,0,0,0,0,0,5ATfVQguM66UV9svXfTJg9,0,206986,65.3,62.3,2.44,50.5,0.000361,84.20218961099465,27.9,71.8,country,27.07119,17.453474,6
Aventura;Bad Bunny,Volví,True,https://www.whosampled.com/Aventura/Volví/,2021,0,0,0,0,0,0,2vmfvSoZBFAt9hhRoEByLi,83,230125,72.5,86.0,18.2,42.2,0.0284,88.0875844397857,6.74,79.10000000000001,latino,19.995132,22.491156,6
Sleepy Hallow,2055,True,https://www.whosampled.com/Sleepy-Hallow/2055/,2021,0,0,1,0,0,0,4XvcHTUfIlWfyJTRG0aqlo,81,123986,82.89999999999999,51.2,18.7,49.2,0.0,78.12252504076402,12.0,63.8,r-n-b,18.759256,16.624283,6
Tainy;Bad Bunny;Julieta Venegas,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),True,https://www.whosampled.com/Tainy/Lo-Siento-BB/,2021,1,0,3,0,0,0,4gzsuuZypVbxs0Af1LSZyB,87,207301,63.9,70.3,7.939999999999999,8.89,0.000178,75.95620778010716,8.649999999999999,13.8,latino,3.7740653,-22.326866,5
LISA,MONEY,True,https://www.whosampled.com/LISA/MONEY/,2021,2,0,6,0,0,0,45OX2jjEw1l7lOFJfDP9fv,78,168227,82.6,55.3,23.4,16.3,0.0041199999999999,58.29489867225717,13.5,40.0,k-pop,3.4586658,-2.8560207,0
Parker McCollum,To Be Loved By You,True,https://www.whosampled.com/Parker-McCollum/To-Be-Loved-By-You/,2021,0,0,1,0,2,0,6WuG5vCUiW5c4GTWIb9AI2,43,199680,47.5,80.5,3.77,0.0453,0.0,84.68669927789425,14.3,48.8,country,-25.200798,-14.622991,3
Oliver Tree,Life Goes On,True,https://www.whosampled.com/Oliver-Tree/Life-Goes-On/,2021,0,0,2,0,4,0,0eu4C55hL6x29mmeAjytzC,79,161803,70.0,49.0,7.6,18.6,0.0,81.28115536920568,11.7,56.89999999999999,alternative,6.2817364,0.76472247,0
Marshmello;Jonas Brothers,Leave Before You Love Me (with Jonas Brothers),True,https://www.whosampled.com/Marshmello/Leave-Before-You-Love-Me/,2021,0,0,5,0,0,0,4qu63nuBpdn0qHUHuObEj1,85,154983,72.1,73.8,4.03,0.2259999999999999,0.000441,83.22385278360122,11.8,63.7,dance,-12.90128,5.4785237,0
Olivia Rodrigo,deja vu,True,https://www.whosampled.com/Olivia-Rodrigo/deja-vu/,2021,4,0,11,0,0,0,6HU7h9RYOaPRFeh0R3UeAr,87,215506,44.2,61.2,11.2,58.4,0.00057,71.80060563708362,37.0,17.8,pop,33.494804,-9.127806,2
Bad Bunny,Yonaguni,True,https://www.whosampled.com/Bad-Bunny/Yonaguni/,2021,1,0,4,0,0,0,2JPLbjOn0wPCngEot2STUS,87,206710,64.4,64.8,11.8,27.6,0.0,84.01118099231307,13.5,44.0,latino,11.992757,-7.1896696,5
Justin Bieber;Daniel Caesar;Giveon,Peaches (feat. Daniel Caesar & Giveon),True,https://www.whosampled.com/Justin-Bieber/Peaches/,2021,4,0,10,0,3,0,4iJyoBOLtHqaGxP12qzhQI,86,198081,67.7,69.6,11.9,32.1,0.0,76.65036105287678,42.0,46.400000000000006,pop,-19.905876,-20.074005,7
Rauw Alejandro,Todo De Ti,True,https://www.whosampled.com/Rauw-Alejandro/Todo-De-Ti/,2021,0,0,1,0,0,0,4fSIb4hdOQ151TILNsSEaF,82,199604,78.0,71.8,5.06,31.0,0.0163,88.6512928022362,9.32,34.2,latino,10.334521,-10.118707,5
Shawn Mendes;Tainy,Summer Of Love,True,https://www.whosampled.com/Shawn-Mendes/Summer-Of-Love/,2021,0,0,1,0,0,0,1wUKpuIo1b8FsLZTC2xB9c,0,184104,77.60000000000001,80.80000000000001,11.7,2.97,0.0127,84.47705567202422,10.3,49.4,dance,-14.327547,-1.4615651,0
Elle King;Miranda Lambert,Drunk (And I Don't Wanna Go Home),True,https://www.whosampled.com/Elle-King/Drunk/,2021,2,0,8,0,1,0,0QULNNd9z5s35entfiiXoa,75,245625,61.2,88.4,4.590000000000001,0.516,0.0,84.9475890985325,9.97,62.6,blues,-24.982107,-2.9298077,3
BTS,Butter,True,https://www.whosampled.com/BTS/Butter/,2021,4,0,16,0,3,0,6jjYDGxVJsWS0a5wlVF5vS,83,164952,75.9,45.9,9.48,0.3229999999999999,0.0,81.28115536920568,7.88,69.5,k-pop,-5.676289,6.3689694,0
TWICE,The Feels,True,https://www.whosampled.com/TWICE/The-Feels/,2019,1,0,4,0,1,0,308Ir17KlNdlrbVLHWhlLe,78,198053,80.80000000000001,90.3,7.290000000000001,8.99,0.0,95.29466573491732,8.16,92.2,k-pop,-25.113808,34.282948,4
Duncan Laurence,Arcade,True,https://www.whosampled.com/Duncan-Laurence/Arcade/,2019,3,0,8,0,2,0,1Xi84slp6FryDSCbzq4UCD,80,183624,45.0,32.9,4.41,81.8,0.109,46.73188912182623,13.5,26.6,pop,46.28552,-11.101623,2
J Balvin;Skrillex,In Da Getto,True,https://www.whosampled.com/J-Balvin/In-Da-Getto/,2021,4,0,2,0,4,0,20JTNRnNUJL75tSJmtg2ZY,5,130666,92.4,72.3,4.66,1.77,0.00261,90.80829256929889,11.3,64.3,latin,-11.798772,3.444186,0
Thomas Rhett,Country Again,True,https://www.whosampled.com/Thomas-Rhett/Country-Again/,2021,0,0,2,0,0,0,3ovpz51ql3sXfcDc66DNFb,0,221240,46.7,48.1,2.55,22.7,0.0189,73.08176100628931,11.0,24.8,country,20.207907,-23.504358,5
LISA,LALISA,True,https://www.whosampled.com/LISA/LALISA/,2021,1,0,4,0,0,0,2KZ3sNqPogEyMUUH6A5HFy,73,200689,80.4,65.2,8.98,2.67,0.0782,76.1798276263685,11.8,85.39999999999999,k-pop,-14.486637,38.397976,1
Cole Swindell,Single Saturday Night,True,https://www.whosampled.com/Cole-Swindell/Single-Saturday-Night/,2020,0,0,2,0,0,0,0dA9bpWJw0yejIthqosxKb,0,189960,63.4,78.60000000000001,4.109999999999999,12.9,0.0,81.71907756813418,18.2,65.3,country,-16.463224,12.177982,4
Giveon,Heartbreak Anniversary,True,https://www.whosampled.com/Giveon/Heartbreak-Anniversary/,2020,0,0,12,0,0,0,3FAJ6O0NOHQV8Mc5Ri6ENp,84,198370,44.9,46.5,7.91,52.400000000000006,0.000102,63.68506871651526,30.3,54.3,pop,27.386793,9.868414,6
Luke Combs,Forever After All,True,https://www.whosampled.com/Luke-Combs/Forever-After-All/,2020,0,0,3,0,0,0,6IBcOGPsniK3Pso1wHIhew,79,232533,48.7,65.0,2.53,19.1,0.0,81.2438853948288,9.33,45.6,country,14.482482,-18.13407,5
Halsey,"I am not a woman, I'm a god",True,https://www.whosampled.com/Halsey/I-am-not-a-woman-I%27m-a-god/,2019,5,0,27,0,1,0,3XKjZcgNYtvCmBpE1nX7Wn,63,176413,51.7,70.0,4.52,0.375,3.85,74.8474260423946,6.34,51.8,indie-pop,-13.438665,-12.450224,0
The Weeknd,Blinding Lights,True,https://www.whosampled.com/The-Weeknd/Blinding-Lights/,2019,10,0,54,0,3,0,0VjIjW4GlUZAMYd2vXMi3b,91,200040,51.4,73.0,5.98,0.146,0.00954,77.80107151176333,8.97,33.4,pop,-6.1395693,-29.494244,7
Dan + Shay,Glad You Exist,False,,2020,0,0,3,0,0,0,7oTUCpSwd2yVIUnzT5uaIv,1,144760,74.1,49.9,3.56,23.0,0.0,68.01304449103192,12.5,69.19999999999999,country,13.297605,12.708581,6
The Kid LAROI,WITHOUT YOU,True,https://www.whosampled.com/The-Kid-LAROI/WITHOUT-YOU/,2020,0,0,6,0,1,0,27OeeYzk6klgBh83TSvGMA,80,161384,66.2,41.3,2.99,21.3,0.0,71.17167481947357,13.4,46.7,hip-hop,7.676121,1.8081447,0
Masked Wolf,Astronaut In The Ocean,True,https://www.whosampled.com/Masked-Wolf/Astronaut-In-The-Ocean/,2019,10,0,9,0,2,0,3Ofmpyhv5UAQ70mENzB277,79,132780,77.8,69.5,9.13,17.5,0.0,73.46377824365246,15.0,47.2,hip-hop,7.6694384,-4.8972473,0
Ed Sheeran,Visiting Hours,True,https://www.whosampled.com/Ed-Sheeran/Visiting-Hours/,2021,0,0,3,0,0,0,0MbP1Nr6DLXB7HFXD7QVwU,0,215506,47.1,39.6,3.36,77.0,0.0,74.44677381784301,7.290000000000001,26.3,pop,41.05754,-12.537656,2
Regard;Troye Sivan;Tate McRae,You,True,https://www.whosampled.com/Regard/You/,2021,0,0,1,0,2,0,2cc8Sw1OnCuA5bV8nqWqpE,76,233386,69.1,69.5,3.67,5.92,0.0,79.3570929419986,6.47,51.4,edm,-9.108745,-7.4145975,0
Clinton Kane,I GUESS I'M IN LOVE,True,https://www.whosampled.com/Clinton-Kane/I-GUESS-I%27M-IN-LOVE/,2021,0,0,2,0,0,0,1is8gU4RVcN4J8xItxWoOY,77,204093,42.2,34.0,3.51,87.7,0.00177,74.8054973212206,14.9,22.3,singer-songwriter,42.957146,-13.956278,2
BTS,Permission to Dance,True,https://www.whosampled.com/BTS/Permission-to-Dance/,2021,0,0,9,0,0,0,3XYRV7ZSHqIRDG87DKTtry,80,187585,70.19999999999999,74.1,4.2700000000000005,0.544,0.0,80.61495457721874,33.7,64.60000000000001,k-pop,-33.51549,5.6179523,3
Jack Harlow;Pooh Shiesty,SUVs (Black on Black),True,https://www.whosampled.com/Jack-Harlow/SUVs/,2021,0,0,0,0,0,0,7ItTtfj4WQHe4SKNM22QFT,0,157675,81.3,70.6,42.5,13.900000000000002,0.0,84.16026088982065,9.94,44.0,hip-hop,-3.0533516,-0.316893,0
DaBaby,Ball If I Want To,True,https://www.whosampled.com/DaBaby/Ball-If-I-Want-To/,2021,1,0,0,0,0,0,6h1JK4zvCvvSHJFFVG3Vqf,0,112546,90.2,66.9,45.7,16.1,0.0,81.92406242720709,7.28,62.8,hip-hop,-4.2097816,12.859348,0
Dan + Shay,Steal My Love,False,,2020,0,0,2,0,0,0,0vzSAyinyA619ZbrOaAi04,66,162120,59.0,63.3,3.28,61.9,0.0,80.04658746797114,15.7,75.1,country,26.731041,19.90089,6
Machine Gun Kelly;blackbear,my ex's best friend,True,https://www.whosampled.com/Machine-Gun-Kelly/my-ex%27s-best-friend/,2020,0,0,4,0,0,0,55rG9wHuUie0jH00vpjvfX,0,138970,73.2,67.10000000000001,4.15,0.3229999999999999,0.0,81.97996738877242,10.8,32.800000000000004,hip-hop,-2.011515,-12.560873,0
Billie Eilish,NDA,True,https://www.whosampled.com/Billie-Eilish/NDA/,2021,1,0,2,0,0,0,38GBNKZUhfBkk3oNlWzRYd,77,195776,76.5,37.3,7.13,34.1,52.5,59.22664803167949,11.2,55.400000000000006,electro,7.2538066,18.244856,1
Nas;Eminem;EPMD,EPMD 2 (feat. Eminem & EPMD),True,https://www.whosampled.com/Nas/EPMD-2/,2021,0,0,1,0,0,1,4bRPecD9suGW8CfNZhzjS1,56,214434,68.89999999999999,83.0,30.2,12.1,0.0,86.59212671791288,31.8,70.3,hardcore,-25.803165,10.397736,4
Olivia Rodrigo,happier,True,https://www.whosampled.com/Olivia-Rodrigo/happier/,2021,0,0,11,0,0,0,2tGvwE8GcFKwNdAXMnlbfl,86,175933,39.5,44.3,13.3,76.5,0.000967,60.163056137898906,8.39,33.800000000000004,pop,42.81956,-11.55741,2
Los Legendarios;Wisin;Jhay Cortez,Fiel,True,https://www.whosampled.com/Los-Legendarios/Fiel/,2021,0,0,1,0,1,0,7Bk0uXKk1uPT0XuQbpFzvs,75,261665,84.89999999999999,70.1,6.0,40.7,0.0,84.91497787095271,11.2,50.5,reggaeton,16.465057,-2.4245107,5
Nas,Rare,True,https://www.whosampled.com/Nas/Rare/,2021,0,0,0,0,0,0,465eCPwUAz2qz7IdQaxUui,55,206777,49.8,85.1,32.6,13.2,0.000421,79.8416026088982,52.900000000000006,51.8,hardcore,-41.345394,-2.745475,3
24kGoldn;iann dior,Mood (feat. iann dior),True,https://www.whosampled.com/24kGoldn/Mood/,2020,5,0,12,0,1,0,4jPy3l0RUwlUI9T5XHBW2m,83,140533,70.1,71.6,3.61,17.4,0.0,88.34381551362685,32.4,73.2,pop,-6.2851505,25.332521,1
Billie Eilish,Billie Bossa Nova,True,https://www.whosampled.com/Billie-Eilish/Billie-Bossa-Nova/,2021,0,0,2,0,0,0,2KnuaZYoGzDoHiBTNYOTXG,76,196730,89.5,38.9,11.0,22.2,3.46,54.03214535290007,10.5,54.900000000000006,electro,13.343721,8.541191,6
Billie Eilish,Oxytocin,True,https://www.whosampled.com/Billie-Eilish/Oxytocin/,2021,0,0,1,0,0,0,4t2OeILB07eMGTXSUbMPEu,72,210232,75.7,59.8,5.800000000000001,9.04,55.1,69.2150011646867,15.0,18.0,electro,-2.9454904,-21.390873,7
Billie Eilish,I Didn't Change My Number,True,https://www.whosampled.com/Billie-Eilish/I-Didn%27t-Change-My-Number/,2021,0,0,0,0,0,0,7bcy34fBT2ap1L4bfPsl9q,75,158463,84.89999999999999,48.0,22.6,61.2,26.9,78.26228744467738,29.5,67.7,electro,19.82849,15.843451,6
Billie Eilish,Lost Cause,True,https://www.whosampled.com/Billie-Eilish/Lost-Cause/,2021,0,0,2,0,0,0,4TmPunCnlJjiKu2iYhqapU,0,212496,67.10000000000001,33.6,24.1,70.5,0.751,65.8746797111577,5.7700000000000005,51.8,electro,42.836246,-1.6355813,2
Billie Eilish,my future,True,https://www.whosampled.com/Billie-Eilish/my-future/,2020,0,0,10,0,0,0,2ygvZOXrIeVL4xZmAWJT2C,72,208155,44.4,30.9,6.2,79.5,13.2,54.404845096669,35.2,8.75,electro,47.891327,-17.253738,2
Bella Poarch,Build a Bitch,True,https://www.whosampled.com/Bella-Poarch/Build-a-Bitch/,2021,1,0,7,0,1,0,7BoobGhD4x5K96Me0hqC8Q,76,122772,85.5,46.3,3.67,21.7,0.00177,70.71977638015375,34.7,86.6,alternative,8.016585,31.161633,1
Olivia Rodrigo,drivers license,True,https://www.whosampled.com/Olivia-Rodrigo/drivers-license/,2021,7,0,40,0,0,0,5wANPM4fQCJwkGd4rN57mH,88,242013,56.10000000000001,43.1,5.779999999999999,76.8,0.00142,64.40251572327044,10.6,13.7,pop,39.245453,-12.713637,2
Lil Tjay;6LACK,Calling My Phone,True,https://www.whosampled.com/Lil-Tjay/Calling-My-Phone/,2021,1,0,2,0,0,0,3J8EOeKLTLXORtWPpOU5bE,81,205458,90.7,39.3,5.390000000000001,45.1,0.000135,69.87188446307944,13.5,20.200000000000003,r-n-b,29.795004,-14.483769,5
Imagine Dragons,Follow You,True,https://www.whosampled.com/Imagine-Dragons/Follow-You/,2021,0,0,1,0,0,0,1skWrgJrEi6ZB4Wt5tYYAb,2,175643,54.2,73.2,5.21,0.209,0.00792,77.69857908222689,49.6,48.9,rock,-42.030945,-7.9161744,3
Dua Lipa;DaBaby,Levitating (feat. DaBaby),True,https://www.whosampled.com/Dua-Lipa/Levitating/,2020,7,0,16,0,3,0,5nujrmhLynf4yMoMtj8AQF,85,203064,70.19999999999999,82.5,6.01,0.8829999999999999,0.0,87.80340088516189,6.74,91.5,dance,-22.38703,31.207785,4
Big Red Machine;Taylor Swift,Renegade (feat. Taylor Swift),True,https://www.whosampled.com/Big-Red-Machine/Renegade/,2021,0,0,1,0,0,0,73W5aXorr5vxrySFcoZqIN,69,254466,53.0,71.2,4.61,44.0,2.33,67.54716981132076,9.31,57.7,folk,22.548813,0.3304578,6
Wizkid;Tems,Essence (feat. Tems),True,https://www.whosampled.com/Wizkid/Essence/,2020,2,0,2,0,1,0,5FG7Tl93LdH117jEKYl3Cm,75,248040,84.89999999999999,70.7,11.3,2.66,0.0008579999999999,77.48427672955975,61.8,60.2,dancehall,-44.567802,0.99549574,3
Jake Owen,Made For You,True,https://www.whosampled.com/Jake-Owen/Made-For-You/,2019,0,0,2,0,0,0,7vF3xkCMvZjAe2nTWY0uQZ,70,238400,58.1,44.1,2.68,77.0,0.00275,73.63149312834847,11.1,33.7,country,39.096592,-8.656324,2
Billie Eilish,Your Power,True,https://www.whosampled.com/Billie-Eilish/Your-Power/,2021,1,0,7,0,0,0,042Sl6Mn83JHyLEqdK7uI0,77,245896,63.2,28.4,8.01,93.2,0.0476,40.107151176333566,23.3,20.8,electro,51.58368,-9.968772,2
Gabby Barrett,The Good Ones,True,https://www.whosampled.com/Gabby-Barrett/The-Good-Ones/,2020,0,0,2,0,0,0,0TgKHlvgZEfaiALjWqyidx,0,215140,51.9,55.2,2.59,18.0,0.0,82.045189843932,14.9,33.1,country,13.172533,-19.78059,5
Travis Scott,goosebumps,True,https://www.whosampled.com/Travis-Scott/goosebumps/,2016,12,0,7,0,1,0,6gBFPUFcJLzWGx4lenP6h2,84,243836,84.1,72.8,4.84,8.469999999999999,0.0,89.74609829955742,14.9,43.0,hip-hop,-4.258844,-9.333579,0
Justin Bieber,Hold On,True,https://www.whosampled.com/Justin-Bieber/Hold-On/,2021,0,0,5,0,0,0,1gMnyo0OUAL6HDJ39lyVwU,0,170813,65.8,63.4,4.130000000000001,1.06,0.0,78.43931982296762,13.2,29.0,pop,1.412385,-17.756956,5
Morgan Wallen,Wasted On You,True,https://www.whosampled.com/Morgan-Wallen/Wasted-On-You/,2021,0,0,1,0,0,0,3cBsEDNhFI9E82vPj3kvi3,83,178520,50.5,65.7,3.18,37.3,0.107,81.03424178895877,12.6,25.2,country,20.46453,-10.323278,5
Doja Cat,Streets,True,https://www.whosampled.com/Doja-Cat/Streets/,2019,5,0,2,0,6,0,60ynsPSSKe6O3sfwRnIBRf,83,226986,74.9,46.3,8.42,21.0,3.82,66.1588632657815,33.800000000000004,18.9,dance,9.462551,-22.103397,5
Coldplay,Higher Power,True,https://www.whosampled.com/Coldplay/Higher-Power/,2021,0,0,0,0,3,0,0Cr69H8rDTrwIkJV27sUYj,0,211294,50.7,82.8,4.49,0.711,0.00244,77.3864430468204,26.1,48.9,pop,-34.394547,-12.637988,3
Skillibeng,Crocodile Teeth,True,https://www.whosampled.com/Skillibeng/Crocodile-Teeth/,2020,0,0,0,0,2,0,3vS8QjHytx8Pi2NMERcfUs,0,166699,59.5,64.4,30.7,14.000000000000002,0.021,70.69182389937106,24.5,22.4,dancehall,-1.3348244,-6.8909698,0
