artists,track_name,URL_Found,Whosampled_URL,Real_Year,Sampled_By_Count,Is_Sample_Of,Covered_By_Count,Is_Cover_Of,Remixed_By_Count,Is_Remix_Of,track_id,popularity,duration_ms,danceability,energy,speechiness,acousticness,instrumentalness,loudness,liveness,valence,track_genre
サザンオールスターズ,YOU,False,,2018,0,0,3,0,1,0,0azDpmHy0nK3R6jJabkx0U,43,271666,54.50000000000001,87.3,3.95,5.82,0.268,80.25157232704402,17.299999999999997,67.7,j-pop
Zara Larsson,Ruin My Life,True,https://www.whosampled.com/Zara-Larsson/Ruin-My-Life/,2018,0,0,7,0,3,0,5tAa8Uaqr4VvA3693mbIhU,67,190931,66.5,69.89999999999999,5.779999999999999,42.3,0.0,80.91777311903098,9.69,58.5,edm
Kacey Musgraves,Rainbow,True,https://www.whosampled.com/Kacey-Musgraves/Rainbow/,2018,0,0,8,0,0,0,79qxwHypONUt3AFq0WPpT9,70,214293,58.099999999999994,19.7,3.29,88.0,0.0,69.58770090845563,10.7,34.9,country
Marshmello,Alone,True,https://www.whosampled.com/Marshmello/Alone/,2016,16,0,4,0,6,0,3MEYFivt6bilQ9q9mFWZ4g,73,273802,63.1,95.3,3.4299999999999997,2.41,1.55,88.02702073142325,10.8,42.199999999999996,dance
Bazzi;Camila Cabello,Beautiful (feat. Camila Cabello),True,https://www.whosampled.com/Bazzi/Beautiful/,2017,0,0,3,0,7,0,4VUwkH455At9kENOfzTqmF,74,180000,63.800000000000004,71.7,3.37,34.599999999999994,0.0,83.44747262986256,10.5,24.9,dance
benny blanco;Juice WRLD;Brendon Urie,Roses (with Juice WRLD feat. Brendon Urie),True,https://www.whosampled.com/benny-blanco/Roses/,2018,0,0,0,0,0,0,1KVczjazCcCCgM3gXXUl47,70,223542,61.199999999999996,60.099999999999994,16.400000000000002,16.8,0.0,72.42021896109947,11.700000000000001,52.5,electro
XXXTENTACION,Sauce!,True,https://www.whosampled.com/XXXTENTACION/Sauce/,2018,1,0,1,0,0,0,3jq1RpStaB1YGyN3rRZGca,64,144724,68.0,31.3,3.47,58.199999999999996,0.0,41.75168879571395,19.0,40.5,emo
XXXTENTACION,BAD!,True,https://www.whosampled.com/XXXTENTACION/BAD/,2018,2,0,3,0,0,0,22An65gG31JLf9n18qjdhZ,72,94245,78.0,49.2,6.710000000000001,6.43,3.1300000000000003,89.60633589564408,17.4,37.4,emo
Imagine Dragons,Natural,True,https://www.whosampled.com/Imagine-Dragons/Natural/,2018,5,0,6,0,0,0,2FY7b99s15jUprqC0M5NCT,82,189466,70.39999999999999,61.1,4.09,21.7,0.0,76.97181458187747,8.12,22.0,rock
Silk City;Dua Lipa;Diplo;Mark Ronson,Electricity (with Dua Lipa),True,https://www.whosampled.com/Silk-City/Electricity/,2018,2,0,3,0,4,0,5N4erncE7kuUccm7zEmwzk,74,238173,58.8,67.0,4.73,1.04,0.00033299999999999996,75.44840437922198,33.800000000000004,50.5,edm
Metro Boomin;Gunna,Space Cadet (feat. Gunna),True,https://www.whosampled.com/Metro-Boomin/Space-Cadet/,2018,2,0,0,0,0,0,1fewSx2d5KIZ04wsooEBOz,81,203266,90.10000000000001,46.400000000000006,6.45,36.8,0.00171,59.841602608898214,23.799999999999997,63.800000000000004,hip-hop
Billie Eilish,idontwannabeyouanymore,True,https://www.whosampled.com/Billie-Eilish/idontwannabeyouanymore/,2017,1,0,10,0,0,0,41zXlQxzTi6cGAjpOXyLYH,81,203569,48.3,41.199999999999996,4.02,73.7,0.0,66.02841835546238,11.600000000000001,24.7,electro
6ix9ine;Tory Lanez,KIKA,True,https://www.whosampled.com/6ix9ine/KIKA/,2018,0,0,1,0,0,0,0IFMbLUK5ttPmXyK16qUQu,65,136031,74.5,71.5,24.6,12.8,0.0,89.75541579315166,18.2,34.2,emo
Katy Perry,Cozy Little Christmas,True,https://www.whosampled.com/Katy-Perry/Cozy-Little-Christmas/,2018,1,0,2,0,0,0,06frz7np2mUzt0wUTBERYP,1,182520,77.5,60.8,12.8,12.8,0.0,76.26368506871653,8.95,56.00000000000001,dance
6ix9ine;Nicki Minaj;Kanye West,MAMA,True,https://www.whosampled.com/6ix9ine/MAMA/,2018,2,0,1,0,0,0,1wcaN0MSG6KQ43UNjpRvid,60,192405,76.1,67.30000000000001,21.5,9.17,0.0010400000000000001,78.02003261122758,14.000000000000002,43.8,emo
lovelytheband,broken,True,https://www.whosampled.com/lovelytheband/broken/,2018,0,0,4,0,1,0,6XcfKZvJio9Z0fQy11GnNX,70,204878,66.60000000000001,72.8,4.19,0.17500000000000002,0.000426,78.38807360819939,4.29,51.0,alt-rock
XXXTENTACION,Guardian angel,True,https://www.whosampled.com/XXXTENTACION/Guardian-angel/,2018,0,0,0,0,0,0,7uqcLJFlSYjVPLUz1vPxkY,65,108034,71.2,37.4,51.1,79.5,0.0,57.85697647332868,18.7,77.9,emo
Ariana Grande,God is a woman,True,https://www.whosampled.com/Ariana-Grande/God-is-a-woman/,2018,5,0,8,0,0,0,5OCJzvD7sykQEKHH7qAC3C,80,197546,60.199999999999996,65.8,5.58,2.33,0.006,77.80107151176333,23.7,26.8,dance
XXXTENTACION,I don’t let go,True,https://www.whosampled.com/XXXTENTACION/I-dont-let-go/,2018,0,0,0,0,0,0,4axYWgXASdsCBHuwInAubT,65,121630,79.7,29.299999999999997,8.0,59.099999999999994,7.24,70.60330771022596,14.799999999999999,47.8,emo
XXXTENTACION;Kanye West;Travis Barker,One Minute (feat. Kanye West & Travis Barker),True,https://www.whosampled.com/XXXTENTACION/One-Minute/,2018,1,0,0,0,0,0,0T6RSXxFhW8dRTWHI604ld,59,197758,56.8,63.6,20.4,0.6709999999999999,0.0,85.57651991614256,10.5,87.9,emo
XXXTENTACION,Train food,True,https://www.whosampled.com/XXXTENTACION/Train-food/,2018,0,0,0,0,0,0,5lar0mCUejpILVkAz50s2J,58,164082,49.2,71.2,69.1,56.39999999999999,0.0091,71.53971581644538,35.699999999999996,23.0,emo
XXXTENTACION,what are you so afraid of,True,https://www.whosampled.com/XXXTENTACION/what-are-you-so-afraid-of/,2018,0,0,0,0,0,0,57nOpVSc3j9o03Cr928ZM4,66,150769,63.9,31.2,3.01,77.4,46.9,59.3151642208246,8.57,34.699999999999996,emo
XXXTENTACION,STARING AT THE SKY,True,https://www.whosampled.com/XXXTENTACION/STARING-AT-THE-SKY/,2018,0,0,0,0,0,0,4KpKyRFwN0gcwj58Uqjv7q,57,85123,55.7,33.800000000000004,2.5700000000000003,13.4,0.184,59.361751688795714,14.000000000000002,68.89999999999999,emo
6ix9ine;A Boogie Wit da Hoodie,WAKA,True,https://www.whosampled.com/6ix9ine/WAKA/,2018,0,0,0,0,0,0,6ZyjQTlZxDtdjYKDwcAWNk,62,128769,77.2,80.9,15.4,8.63,0.0,86.8390402981598,11.5,65.4,emo
6ix9ine;Lil Baby,TIC TOC,True,https://www.whosampled.com/6ix9ine/TIC-TOC/,2018,0,0,1,0,0,0,1q8PAOcnI1tciyj3BVpVhw,55,135739,82.0,69.1,7.23,1.13,0.0,74.4840437922199,34.4,68.30000000000001,emo
6ix9ine;Nicki Minaj;Murda Beatz,FEFE,True,https://www.whosampled.com/6ix9ine/FEFE/,2018,1,0,2,0,0,0,1M6SuEJZJkZf2S419vIPkB,72,179404,93.10000000000001,38.7,41.199999999999996,8.799999999999999,0.0,62.92569298858607,13.600000000000001,37.5,emo
Cardi B;Kehlani,Ring,True,https://www.whosampled.com/Cardi-B/Ring/,2018,1,0,1,0,0,0,1mbMrD4kLNWqW3sfJg8BOc,6,177139,76.5,49.1,14.499999999999998,6.260000000000001,0.0,68.83298392732355,9.94,56.00000000000001,dance
6ix9ine;Bobby Shmurda,STOOPID,True,https://www.whosampled.com/6ix9ine/STOOPID/,2018,2,0,2,0,0,0,2SjOYQ127lPP8Gerv1qSVh,59,152000,73.3,63.0,39.5,13.0,0.0,85.4320987654321,16.2,83.3,emo
Bebe Rexha,I'm a Mess,True,https://www.whosampled.com/Bebe-Rexha/I%27m-a-Mess/,2018,0,0,3,0,3,0,04ZTP5KsCypmtCmQg5tH9R,74,195519,63.0,69.39999999999999,2.53,0.281,0.0,76.2962962962963,7.19,21.6,dance
6ix9ine;Anuel AA,BEBE,True,https://www.whosampled.com/6ix9ine/BEBE/,2018,0,0,0,0,0,0,3eqOaTqnyb0GEgv6JInG6W,72,217822,63.5,90.2,10.9,17.2,0.0,88.86559515490333,12.5,28.499999999999996,emo
Lauv,I Like Me Better,True,https://www.whosampled.com/Lauv/I-Like-Me-Better/,2017,1,0,15,0,4,0,2P91MQbaiQOfbiz9VqhqKQ,83,197436,75.2,50.5,25.3,53.5,0.000255,69.9417656650361,10.4,41.9,dance
XXXTENTACION,SAD!,True,https://www.whosampled.com/XXXTENTACION/SAD/,1975,44,0,71,0,0,0,3ee8Jmje8o58CHK66QrVC2,83,166605,74.0,61.3,14.499999999999998,25.8,0.372,82.71139063591895,12.3,47.3,emo
Queen,Bohemian Rhapsody,True,https://www.whosampled.com/Queen/Bohemian-Rhapsody/,1975,88,0,142,0,1,0,3z8h0TU7ReDPLIbEnYhWZb,75,354947,39.0,39.7,5.13,28.7,0.0,59.0309806662008,20.7,24.6,rock
AJR,Burn the House Down,True,https://www.whosampled.com/AJR/Burn-the-House-Down/,2018,0,0,4,0,1,0,4u8Gkqyg87iGSW3hQbbnQZ,64,212689,45.4,66.0,16.8,3.64,0.0,85.1479152108083,18.099999999999998,56.8,rock
Selena Gomez,Back To You,True,https://www.whosampled.com/Selena-Gomez/Back-To-You/,2018,1,0,8,0,3,0,514rhnksEwHUh6LxXsQ4Y9,72,210240,60.0,68.30000000000001,4.93,9.84,0.000126,76.23107384113673,11.0,49.4,dance
Calvin Harris;Sam Smith;Jessie Reyez,Promises (with Sam Smith),True,https://www.whosampled.com/Calvin-Harris/Promises/,2018,1,0,9,0,8,0,5N5k9nd479b1xpDZ4usjrg,77,213309,78.10000000000001,76.8,3.94,1.1900000000000002,0.000491,77.53552294432798,32.5,48.6,electro
Zedd;Maren Morris;Grey,The Middle,True,https://www.whosampled.com/Zedd/The-Middle/,2018,9,0,18,0,0,0,09IStsImFySgyp0pIQdqAc,80,184732,75.3,65.7,4.49,17.1,0.0,91.18565105986491,11.200000000000001,43.7,dance
Steve Aoki;BTS,Waste It On Me,True,https://www.whosampled.com/Steve-Aoki/Waste-It-On-Me/,2018,0,0,2,0,4,0,66XDf77gBcfQKi4I2vIbTj,63,192536,66.9,68.4,5.8500000000000005,25.2,0.0,84.03913347309575,72.0,46.6,edm
Ariana Grande,no tears left to cry,True,https://www.whosampled.com/Ariana-Grande/no-tears-left-to-cry/,2018,4,0,14,0,2,0,2qT1uLXPVPzGgFOx4jtEuo,78,205920,69.89999999999999,71.3,5.94,4.0,0.00031099999999999997,79.79035639412999,29.4,35.4,dance
Dua Lipa;BLACKPINK,Kiss and Make Up,True,https://www.whosampled.com/Dua-Lipa/Kiss-and-Make-Up/,2018,0,0,5,0,1,0,13hvHEstJ4sNbzdroPrPI3,59,190560,67.5,72.89999999999999,14.6,5.57,0.0,85.0267877940834,18.9,63.0,dance
Weezer,Africa,True,https://www.whosampled.com/Weezer/Africa/,2018,2,0,2,1,1,0,3ZPKocroJIcnHGcnJVlLKD,59,238626,53.400000000000006,78.4,3.39,20.5,0.579,88.72117400419287,10.6,60.0,power-pop
Bebe Rexha;Florida Georgia Line,Meant to Be,True,https://www.whosampled.com/Bebe-Rexha/Meant-to-Be/,2017,3,0,11,0,0,0,5TFjvC8B1O4l8lO9GKBOOk,0,164640,64.1,78.3,9.99,4.67,0.0,74.7635686000466,6.34,55.800000000000004,dance
Florida Georgia Line,Simple,True,https://www.whosampled.com/Florida-Georgia-Line/Simple/,2019,0,0,3,0,0,0,4L9Ds4mpD3SuYoWwFUlv16,73,185200,36.199999999999996,88.2,9.73,7.91,0.0,88.1295131609597,15.0,86.4,country
Charlie Puth,The Way I Am,True,https://www.whosampled.com/Charlie-Puth/The-Way-I-Am/,2018,0,0,1,0,3,0,6BJ98GYC2njuEOqg1y3ss3,0,186080,75.5,77.0,18.7,31.2,0.000234,79.08688562776612,6.279999999999999,64.2,dance
Machine Gun Kelly,RAP DEVIL,True,https://www.whosampled.com/Machine-Gun-Kelly/RAP-DEVIL/,2018,3,0,2,0,0,0,7hgxdDJAyaQKsGl9ZquRsh,0,286117,89.5,83.89999999999999,22.7,21.7,0.000289,84.43512695085023,23.9,75.4,hip-hop
Ed Sheeran,Perfect,True,https://www.whosampled.com/Ed-Sheeran/Perfect/,2017,7,0,87,0,2,0,0tgVpDi06FyKpA1z0VMD4v,87,263400,59.9,44.800000000000004,2.32,16.3,0.0,76.04006522245515,10.6,16.8,pop
Drake,God's Plan,True,https://www.whosampled.com/Drake/God%27s-Plan/,2018,25,0,23,0,0,0,6DCZcSspjsKoFjzjrWoCdn,84,198973,75.4,44.9,10.9,3.32,0.008289999999999999,62.534358257628696,55.2,35.699999999999996,hip-hop
Travis Scott,STARGAZING,True,https://www.whosampled.com/Travis-Scott/STARGAZING/,2018,2,0,3,0,0,0,7wBJfHzpfI3032CSD7CE2m,75,270714,48.699999999999996,78.9,4.3999999999999995,0.947,0.00040500000000000003,88.25529932448171,18.9,5.64,house
Wiz Khalifa;Swae Lee,Hopeless Romantic,True,https://www.whosampled.com/Wiz-Khalifa/Hopeless-Romantic/,2018,0,0,1,0,4,0,5QNFpjUpjZ2X9YgzIdDDhy,0,226742,87.7,47.699999999999996,5.89,30.7,0.0,71.06918238993711,9.29,55.2,dance
Clean Bandit;Demi Lovato,Solo (feat. Demi Lovato),True,https://www.whosampled.com/Clean-Bandit/Solo/,2018,0,0,3,0,9,0,6kPJZM97LwdG9QIsT7khp6,71,222653,73.7,63.6,4.37,4.41,0.006660000000000001,84.26741206615421,35.0,56.49999999999999,edm
Ozuna;Manuel Turizo,Vaina Loca,True,https://www.whosampled.com/Ozuna/Vaina-Loca/,2018,0,0,0,0,0,0,48zFZh27QU5qsrBjn4C2FA,74,176133,75.4,80.5,7.5200000000000005,31.5,0.0,85.65105986489635,20.3,55.50000000000001,latino
Brett Young,Mercy,True,https://www.whosampled.com/Brett-Young/Mercy/,2018,0,0,1,0,0,0,63jfUirW2IkypzR5BYiV8Q,2,217120,63.800000000000004,36.7,2.6599999999999997,84.0,0.0,68.61402282785932,9.99,21.9,country
Bazzi,Mine,True,https://www.whosampled.com/Bazzi/Mine/,2017,3,0,9,0,5,0,7uzmGiiJyRfuViKKK3lVmR,76,131064,71.0,78.9,7.22,1.6099999999999999,0.000277,87.3980899138132,45.1,71.7,dance
BTS;Nicki Minaj,IDOL,True,https://www.whosampled.com/BTS/IDOL/,2018,1,0,3,0,1,0,54azQnjuDYDFfImXimGFsA,64,260233,70.8,85.7,8.27,0.219,0.0,89.63428837642675,10.299999999999999,44.9,k-pop
Marshmello;Anne-Marie,FRIENDS,True,https://www.whosampled.com/Marshmello/FRIENDS/,2018,5,0,12,0,7,0,08bNPGLD8AhKpnnERrAc6G,79,202620,62.6,88.0,5.04,20.5,0.0,94.33962264150944,12.8,53.400000000000006,dance
Camila Cabello,Never Be the Same,True,https://www.whosampled.com/Camila-Cabello/Never-Be-the-Same/,2017,2,0,10,0,0,0,4eWQlBRaTjPPUlzacqEeoQ,74,226973,63.7,71.3,7.470000000000001,18.099999999999998,0.06369999999999999,85.25972513393899,13.700000000000001,24.3,dance
Calvin Harris;Dua Lipa,One Kiss (with Dua Lipa),True,https://www.whosampled.com/Calvin-Harris/One-Kiss/,2018,4,0,10,0,7,0,7ef4DlsgrMEH11cDZd32M6,89,214846,79.10000000000001,86.2,11.0,3.6999999999999997,0.00219,90.35173538318192,8.14,59.199999999999996,dance
XXXTENTACION,Moonlight,True,https://www.whosampled.com/XXXTENTACION/Moonlight/,2018,15,0,3,0,0,0,0JP9xo3adEtGSdUEISiszL,83,135090,92.10000000000001,53.7,8.04,55.60000000000001,0.404,78.7840670859539,10.2,71.1,emo
XXXTENTACION,changes,True,https://www.whosampled.com/XXXTENTACION/changes/,2018,7,0,3,0,0,0,7AFASza1mXqntmGtbxXprO,80,121886,66.9,30.8,2.9000000000000004,88.3,0.0,58.54181225250408,9.84,52.0,emo
Zedd;Elley Duhé,Happy Now,True,https://www.whosampled.com/Zedd/Happy-Now/,2018,2,0,7,0,5,0,6dRFbn4xqPuz3LOypGiM5z,0,207029,50.3,74.0,4.72,57.699999999999996,0.000139,81.55602143023528,7.12,45.7,electro
Shawn Mendes,In My Blood,True,https://www.whosampled.com/Shawn-Mendes/In-My-Blood/,2018,0,0,12,0,0,0,1S8p6YMo8zaxRXlx1XzzgZ,0,211360,62.2,71.1,6.65,5.7299999999999995,0.0,71.33938970416959,13.0,48.699999999999996,dance
Alessia Cara,Growing Pains,True,https://www.whosampled.com/Alessia-Cara/Growing-Pains/,2018,0,0,0,0,9,0,7MvUTgehqKITlwxPTNfPuU,0,196533,35.4,75.3,74.3,8.36,0.0,76.2170976007454,31.4,45.5,electro
Cardi B,Be Careful,True,https://www.whosampled.com/Cardi-B/Be-Careful/,2018,2,0,3,0,0,0,3VTQZWhvI8cwzjoSAJzcED,0,210787,83.5,56.10000000000001,40.0,2.64,0.0,67.02073142324714,9.5,49.9,dance
