artists,track_name,URL_Found,Whosampled_URL,Real_Year,Sampled_By_Count,Is_Sample_Of,Covered_By_Count,Is_Cover_Of,Remixed_By_Count,Is_Remix_Of,track_id,popularity,duration_ms,danceability,energy,speechiness,acousticness,instrumentalness,loudness,liveness,valence,track_genre
Lil Tjay;Fivio Foreign;Kay Flock,Not In The Mood (feat. Fivio Foreign & Kay Flock),True,https://www.whosampled.com/Lil-Tjay/Not-In-The-Mood/,2021,0,0,1,0,0,0,25GyyK9CyZRiDCsPY51fIT,69,150475,0.545,0.82,0.275,0.0951,0.0,-4.489,0.29,0.357,r-n-b
Doja Cat,Woman,True,https://www.whosampled.com/Doja-Cat/Woman/,2021,1,0,3,0,0,0,6Uj1ctrBOjOas8xZXGqKk4,88,172626,0.824,0.764,0.0854,0.0888,0.00294,-4.175,0.117,0.881,dance
Cody Johnson,'Til You Can't,True,https://www.whosampled.com/Cody-Johnson/%27Til-You-Can%27t/,2021,0,0,1,0,0,0,02HqnDssYA62iGapkpJIkJ,1,224213,0.501,0.815,0.0436,0.0513,0.0,-4.865,0.106,0.46,country
Michael Ray,Whiskey and Rain,True,https://www.whosampled.com/Michael-Ray/Whiskey-and-Rain/,2021,0,0,0,0,0,0,5ATfVQguM66UV9svXfTJg9,0,206986,0.653,0.623,0.0244,0.505,3.61e-06,-4.56,0.279,0.718,country
Aventura;Bad Bunny,Volví,True,https://www.whosampled.com/Aventura/Volví/,2021,0,0,0,0,0,0,2vmfvSoZBFAt9hhRoEByLi,83,230125,0.725,0.86,0.182,0.422,0.000284,-3.726,0.0674,0.791,latino
Sleepy Hallow,2055,True,https://www.whosampled.com/Sleepy-Hallow/2055/,2021,0,0,1,0,0,0,4XvcHTUfIlWfyJTRG0aqlo,81,123986,0.829,0.512,0.187,0.492,0.0,-5.865,0.12,0.638,r-n-b
Tainy;Bad Bunny;Julieta Venegas,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),True,https://www.whosampled.com/Tainy/Lo-Siento-BB/,2021,1,0,3,0,0,0,4gzsuuZypVbxs0Af1LSZyB,87,207301,0.639,0.703,0.0794,0.0889,1.78e-06,-6.33,0.0865,0.138,latino
LISA,MONEY,True,https://www.whosampled.com/LISA/MONEY/,2021,2,0,6,0,0,0,45OX2jjEw1l7lOFJfDP9fv,78,168227,0.826,0.553,0.234,0.163,4.12e-05,-10.121,0.135,0.4,k-pop
Parker McCollum,To Be Loved By You,True,https://www.whosampled.com/Parker-McCollum/To-Be-Loved-By-You/,2021,0,0,1,0,2,0,6WuG5vCUiW5c4GTWIb9AI2,43,199680,0.475,0.805,0.0377,0.000453,0.0,-4.456,0.143,0.488,country
Oliver Tree,Life Goes On,True,https://www.whosampled.com/Oliver-Tree/Life-Goes-On/,2021,0,0,2,0,4,0,0eu4C55hL6x29mmeAjytzC,79,161803,0.7,0.49,0.076,0.186,0.0,-5.187,0.117,0.569,alternative
Marshmello;Jonas Brothers,Leave Before You Love Me (with Jonas Brothers),True,https://www.whosampled.com/Marshmello/Leave-Before-You-Love-Me/,2021,0,0,5,0,0,0,4qu63nuBpdn0qHUHuObEj1,85,154983,0.721,0.738,0.0403,0.00226,4.41e-06,-4.77,0.118,0.637,dance
Olivia Rodrigo,deja vu,True,https://www.whosampled.com/Olivia-Rodrigo/deja-vu/,2021,4,0,11,0,0,0,6HU7h9RYOaPRFeh0R3UeAr,87,215506,0.442,0.612,0.112,0.584,5.7e-06,-7.222,0.37,0.178,pop
Bad Bunny,Yonaguni,True,https://www.whosampled.com/Bad-Bunny/Yonaguni/,2021,1,0,4,0,0,0,2JPLbjOn0wPCngEot2STUS,87,206710,0.644,0.648,0.118,0.276,0.0,-4.601,0.135,0.44,latino
Justin Bieber;Daniel Caesar;Giveon,Peaches (feat. Daniel Caesar & Giveon),True,https://www.whosampled.com/Justin-Bieber/Peaches/,2021,4,0,10,0,3,0,4iJyoBOLtHqaGxP12qzhQI,86,198081,0.677,0.696,0.119,0.321,0.0,-6.181,0.42,0.464,pop
Rauw Alejandro,Todo De Ti,True,https://www.whosampled.com/Rauw-Alejandro/Todo-De-Ti/,2021,0,0,1,0,0,0,4fSIb4hdOQ151TILNsSEaF,82,199604,0.78,0.718,0.0506,0.31,0.000163,-3.605,0.0932,0.342,latino
Shawn Mendes;Tainy,Summer Of Love,True,https://www.whosampled.com/Shawn-Mendes/Summer-Of-Love/,2021,0,0,1,0,0,0,1wUKpuIo1b8FsLZTC2xB9c,0,184104,0.776,0.808,0.117,0.0297,0.000127,-4.501,0.103,0.494,dance
Elle King;Miranda Lambert,Drunk (And I Don't Wanna Go Home),True,https://www.whosampled.com/Elle-King/Drunk/,2021,2,0,8,0,1,0,0QULNNd9z5s35entfiiXoa,75,245625,0.612,0.884,0.0459,0.00516,0.0,-4.4,0.0997,0.626,blues
BTS,Butter,True,https://www.whosampled.com/BTS/Butter/,2021,4,0,16,0,3,0,6jjYDGxVJsWS0a5wlVF5vS,83,164952,0.759,0.459,0.0948,0.00323,0.0,-5.187,0.0788,0.695,k-pop
TWICE,The Feels,True,https://www.whosampled.com/TWICE/The-Feels/,2019,1,0,4,0,1,0,308Ir17KlNdlrbVLHWhlLe,78,198053,0.808,0.903,0.0729,0.0899,0.0,-2.179,0.0816,0.922,k-pop
Duncan Laurence,Arcade,True,https://www.whosampled.com/Duncan-Laurence/Arcade/,2019,3,0,8,0,2,0,1Xi84slp6FryDSCbzq4UCD,80,183624,0.45,0.329,0.0441,0.818,0.00109,-12.603,0.135,0.266,pop
J Balvin;Skrillex,In Da Getto,True,https://www.whosampled.com/J-Balvin/In-Da-Getto/,2021,4,0,2,0,4,0,20JTNRnNUJL75tSJmtg2ZY,5,130666,0.924,0.723,0.0466,0.0177,2.61e-05,-3.142,0.113,0.643,latin
Thomas Rhett,Country Again,True,https://www.whosampled.com/Thomas-Rhett/Country-Again/,2021,0,0,2,0,0,0,3ovpz51ql3sXfcDc66DNFb,0,221240,0.467,0.481,0.0255,0.227,0.000189,-6.947,0.11,0.248,country
LISA,LALISA,True,https://www.whosampled.com/LISA/LALISA/,2021,1,0,4,0,0,0,2KZ3sNqPogEyMUUH6A5HFy,73,200689,0.804,0.652,0.0898,0.0267,0.000782,-6.282,0.118,0.854,k-pop
Cole Swindell,Single Saturday Night,True,https://www.whosampled.com/Cole-Swindell/Single-Saturday-Night/,2020,0,0,2,0,0,0,0dA9bpWJw0yejIthqosxKb,0,189960,0.634,0.786,0.0411,0.129,0.0,-5.093,0.182,0.653,country
Giveon,Heartbreak Anniversary,True,https://www.whosampled.com/Giveon/Heartbreak-Anniversary/,2020,0,0,12,0,0,0,3FAJ6O0NOHQV8Mc5Ri6ENp,84,198370,0.449,0.465,0.0791,0.524,1.02e-06,-8.964,0.303,0.543,pop
Luke Combs,Forever After All,True,https://www.whosampled.com/Luke-Combs/Forever-After-All/,2020,0,0,3,0,0,0,6IBcOGPsniK3Pso1wHIhew,79,232533,0.487,0.65,0.0253,0.191,0.0,-5.195,0.0933,0.456,country
Halsey,"I am not a woman, I'm a god",True,https://www.whosampled.com/Halsey/I-am-not-a-woman-I%27m-a-god/,2019,5,0,27,0,1,0,3XKjZcgNYtvCmBpE1nX7Wn,63,176413,0.517,0.7,0.0452,0.00375,0.0385,-6.568,0.0634,0.518,indie-pop
The Weeknd,Blinding Lights,True,https://www.whosampled.com/The-Weeknd/Blinding-Lights/,2019,10,0,54,0,3,0,0VjIjW4GlUZAMYd2vXMi3b,91,200040,0.514,0.73,0.0598,0.00146,9.54e-05,-5.934,0.0897,0.334,pop
Dan + Shay,Glad You Exist,False,,2020,0,0,3,0,0,0,7oTUCpSwd2yVIUnzT5uaIv,1,144760,0.741,0.499,0.0356,0.23,0.0,-8.035,0.125,0.692,country
The Kid LAROI,WITHOUT YOU,True,https://www.whosampled.com/The-Kid-LAROI/WITHOUT-YOU/,2020,0,0,6,0,1,0,27OeeYzk6klgBh83TSvGMA,80,161384,0.662,0.413,0.0299,0.213,0.0,-7.357,0.134,0.467,hip-hop
Masked Wolf,Astronaut In The Ocean,True,https://www.whosampled.com/Masked-Wolf/Astronaut-In-The-Ocean/,2019,10,0,9,0,2,0,3Ofmpyhv5UAQ70mENzB277,79,132780,0.778,0.695,0.0913,0.175,0.0,-6.865,0.15,0.472,hip-hop
Ed Sheeran,Visiting Hours,True,https://www.whosampled.com/Ed-Sheeran/Visiting-Hours/,2021,0,0,3,0,0,0,0MbP1Nr6DLXB7HFXD7QVwU,0,215506,0.471,0.396,0.0336,0.77,0.0,-6.654,0.0729,0.263,pop
Regard;Troye Sivan;Tate McRae,You,True,https://www.whosampled.com/Regard/You/,2021,0,0,1,0,2,0,2cc8Sw1OnCuA5bV8nqWqpE,76,233386,0.691,0.695,0.0367,0.0592,0.0,-5.6,0.0647,0.514,edm
Clinton Kane,I GUESS I'M IN LOVE,True,https://www.whosampled.com/Clinton-Kane/I-GUESS-I%27M-IN-LOVE/,2021,0,0,2,0,0,0,1is8gU4RVcN4J8xItxWoOY,77,204093,0.422,0.34,0.0351,0.877,1.77e-05,-6.577,0.149,0.223,singer-songwriter
BTS,Permission to Dance,True,https://www.whosampled.com/BTS/Permission-to-Dance/,2021,0,0,9,0,0,0,3XYRV7ZSHqIRDG87DKTtry,80,187585,0.702,0.741,0.0427,0.00544,0.0,-5.33,0.337,0.646,k-pop
Jack Harlow;Pooh Shiesty,SUVs (Black on Black),True,https://www.whosampled.com/Jack-Harlow/SUVs/,2021,0,0,0,0,0,0,7ItTtfj4WQHe4SKNM22QFT,0,157675,0.813,0.706,0.425,0.139,0.0,-4.569,0.0994,0.44,hip-hop
DaBaby,Ball If I Want To,True,https://www.whosampled.com/DaBaby/Ball-If-I-Want-To/,2021,1,0,0,0,0,0,6h1JK4zvCvvSHJFFVG3Vqf,0,112546,0.902,0.669,0.457,0.161,0.0,-5.049,0.0728,0.628,hip-hop
Dan + Shay,Steal My Love,False,,2020,0,0,2,0,0,0,0vzSAyinyA619ZbrOaAi04,66,162120,0.59,0.633,0.0328,0.619,0.0,-5.452,0.157,0.751,country
Machine Gun Kelly;blackbear,my ex's best friend,True,https://www.whosampled.com/Machine-Gun-Kelly/my-ex%27s-best-friend/,2020,0,0,4,0,0,0,55rG9wHuUie0jH00vpjvfX,0,138970,0.732,0.671,0.0415,0.00323,0.0,-5.037,0.108,0.328,hip-hop
Billie Eilish,NDA,True,https://www.whosampled.com/Billie-Eilish/NDA/,2021,1,0,2,0,0,0,38GBNKZUhfBkk3oNlWzRYd,77,195776,0.765,0.373,0.0713,0.341,0.525,-9.921,0.112,0.554,electro
Nas;Eminem;EPMD,EPMD 2 (feat. Eminem & EPMD),True,https://www.whosampled.com/Nas/EPMD-2/,2021,0,0,1,0,0,1,4bRPecD9suGW8CfNZhzjS1,56,214434,0.689,0.83,0.302,0.121,0.0,-4.047,0.318,0.703,hardcore
Olivia Rodrigo,happier,True,https://www.whosampled.com/Olivia-Rodrigo/happier/,2021,0,0,11,0,0,0,2tGvwE8GcFKwNdAXMnlbfl,86,175933,0.395,0.443,0.133,0.765,9.67e-06,-9.72,0.0839,0.338,pop
Los Legendarios;Wisin;Jhay Cortez,Fiel,True,https://www.whosampled.com/Los-Legendarios/Fiel/,2021,0,0,1,0,1,0,7Bk0uXKk1uPT0XuQbpFzvs,75,261665,0.849,0.701,0.06,0.407,0.0,-4.407,0.112,0.505,reggaeton
Nas,Rare,True,https://www.whosampled.com/Nas/Rare/,2021,0,0,0,0,0,0,465eCPwUAz2qz7IdQaxUui,55,206777,0.498,0.851,0.326,0.132,4.21e-06,-5.496,0.529,0.518,hardcore
24kGoldn;iann dior,Mood (feat. iann dior),True,https://www.whosampled.com/24kGoldn/Mood/,2020,5,0,12,0,1,0,4jPy3l0RUwlUI9T5XHBW2m,83,140533,0.701,0.716,0.0361,0.174,0.0,-3.671,0.324,0.732,pop
Billie Eilish,Billie Bossa Nova,True,https://www.whosampled.com/Billie-Eilish/Billie-Bossa-Nova/,2021,0,0,2,0,0,0,2KnuaZYoGzDoHiBTNYOTXG,76,196730,0.895,0.389,0.11,0.222,0.0346,-11.036,0.105,0.549,electro
Billie Eilish,Oxytocin,True,https://www.whosampled.com/Billie-Eilish/Oxytocin/,2021,0,0,1,0,0,0,4t2OeILB07eMGTXSUbMPEu,72,210232,0.757,0.598,0.058,0.0904,0.551,-7.777,0.15,0.18,electro
Billie Eilish,I Didn't Change My Number,True,https://www.whosampled.com/Billie-Eilish/I-Didn%27t-Change-My-Number/,2021,0,0,0,0,0,0,7bcy34fBT2ap1L4bfPsl9q,75,158463,0.849,0.48,0.226,0.612,0.269,-5.835,0.295,0.677,electro
Billie Eilish,Lost Cause,True,https://www.whosampled.com/Billie-Eilish/Lost-Cause/,2021,0,0,2,0,0,0,4TmPunCnlJjiKu2iYhqapU,0,212496,0.671,0.336,0.241,0.705,0.00751,-8.494,0.0577,0.518,electro
Billie Eilish,my future,True,https://www.whosampled.com/Billie-Eilish/my-future/,2020,0,0,10,0,0,0,2ygvZOXrIeVL4xZmAWJT2C,72,208155,0.444,0.309,0.062,0.795,0.132,-10.956,0.352,0.0875,electro
Bella Poarch,Build a Bitch,True,https://www.whosampled.com/Bella-Poarch/Build-a-Bitch/,2021,1,0,7,0,1,0,7BoobGhD4x5K96Me0hqC8Q,76,122772,0.855,0.463,0.0367,0.217,1.77e-05,-7.454,0.347,0.866,alternative
Olivia Rodrigo,drivers license,True,https://www.whosampled.com/Olivia-Rodrigo/drivers-license/,2021,7,0,40,0,0,0,5wANPM4fQCJwkGd4rN57mH,88,242013,0.561,0.431,0.0578,0.768,1.42e-05,-8.81,0.106,0.137,pop
Lil Tjay;6LACK,Calling My Phone,True,https://www.whosampled.com/Lil-Tjay/Calling-My-Phone/,2021,1,0,2,0,0,0,3J8EOeKLTLXORtWPpOU5bE,81,205458,0.907,0.393,0.0539,0.451,1.35e-06,-7.636,0.135,0.202,r-n-b
