artists,track_name,URL_Found,Whosampled_URL,Real_Year,Sampled_By_Count,Is_Sample_Of,Covered_By_Count,Is_Cover_Of,Remixed_By_Count,Is_Remix_Of,track_id,popularity,duration_ms,danceability,energy,speechiness,acousticness,instrumentalness,loudness,liveness,valence,track_genre,tsne_x,tsne_y
Jordan Davis;Luke Bryan,Buy Dirt,True,https://www.whosampled.com/Jordan-Davis/Buy-Dirt/,2021,0,0,1,0,0,0,47etYUs12o0yYHd2bQ7Hel,0,167480,58.6,55.900000000000006,5.0,63.9,0.0,74.11600279524808,8.72,43.7,country,60.515106,-0.44671366
Justin Bieber,Ghost,True,https://www.whosampled.com/Justin-Bieber/Ghost/,2021,1,0,10,0,0,0,6I3mqTwhRpn34SLVafSH7G,88,153190,60.1,74.1,4.78,18.5,0.00291,79.50151409270907,41.5,44.1,pop,-27.156406,-37.816044
Tai Verdes,A-O-K,True,https://www.whosampled.com/Tai-Verdes/A-O-K/,2021,0,0,0,0,2,0,1sx0XsWUusUoPstbvokZjP,77,173640,73.1,62.6,8.05,12.5,0.0,73.21220591660843,18.3,86.2,indie-pop,11.520003,25.09706
Drake;Travis Scott,Fair Trade (with Travis Scott),True,https://www.whosampled.com/Drake/Fair-Trade/,2021,2,0,1,0,0,0,40iJIUlhi6renaREYGeIDS,83,291175,66.60000000000001,46.5,26.0,5.029999999999999,0.0,65.63708362450501,21.5,29.2,hip-hop,-2.6756463,-45.73134
Kenny Chesney,Knowing You,True,https://www.whosampled.com/Kenny-Chesney/Knowing-You/,2020,0,0,1,0,0,0,1ERoFNNh3shILiAOFWjlgg,0,226266,56.8,56.2,2.58,23.0,0.000341,76.93454460750058,11.9,17.8,country,29.426285,-23.3029
Kane Brown;blackbear,Memory,True,https://www.whosampled.com/Kane-Brown/Memory/,2021,0,0,2,0,0,0,34chhNX59Wo9HMFCsI3K8Y,72,153337,43.4,88.9,5.09,39.5,0.0,78.96575821104122,27.3,84.5,country,17.264765,10.43009
Lil Tjay;Fivio Foreign;Kay Flock,Not In The Mood (feat. Fivio Foreign & Kay Flock),True,https://www.whosampled.com/Lil-Tjay/Not-In-The-Mood/,2021,0,0,1,0,0,0,25GyyK9CyZRiDCsPY51fIT,69,150475,54.50000000000001,82.0,27.500000000000004,9.51,0.0,84.53296063358955,29.0,35.7,r-n-b,-10.101753,-47.23561
Doja Cat,Woman,True,https://www.whosampled.com/Doja-Cat/Woman/,2021,1,0,3,0,0,0,6Uj1ctrBOjOas8xZXGqKk4,88,172626,82.39999999999999,76.4,8.540000000000001,8.88,0.294,85.9958071278826,11.7,88.1,dance,-5.817183,37.543697
Cody Johnson,'Til You Can't,True,https://www.whosampled.com/Cody-Johnson/%27Til-You-Can%27t/,2021,0,0,1,0,0,0,02HqnDssYA62iGapkpJIkJ,1,224213,50.1,81.5,4.36,5.13,0.0,82.78127183787561,10.6,46.0,country,-45.94203,-16.047874
Michael Ray,Whiskey and Rain,True,https://www.whosampled.com/Michael-Ray/Whiskey-and-Rain/,2021,0,0,0,0,0,0,5ATfVQguM66UV9svXfTJg9,0,206986,65.3,62.3,2.44,50.5,0.000361,84.20218961099465,27.9,71.8,country,43.405968,9.9937725
Aventura;Bad Bunny,Volví,True,https://www.whosampled.com/Aventura/Volví/,2021,0,0,0,0,0,0,2vmfvSoZBFAt9hhRoEByLi,83,230125,72.5,86.0,18.2,42.2,0.0284,88.0875844397857,6.74,79.10000000000001,latino,30.95517,-0.08345948
Sleepy Hallow,2055,True,https://www.whosampled.com/Sleepy-Hallow/2055/,2021,0,0,1,0,0,0,4XvcHTUfIlWfyJTRG0aqlo,81,123986,82.89999999999999,51.2,18.7,49.2,0.0,78.12252504076402,12.0,63.8,r-n-b,39.323116,36.07059
Tainy;Bad Bunny;Julieta Venegas,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),True,https://www.whosampled.com/Tainy/Lo-Siento-BB/,2021,1,0,3,0,0,0,4gzsuuZypVbxs0Af1LSZyB,87,207301,63.9,70.3,7.939999999999999,8.89,0.000178,75.95620778010716,8.649999999999999,13.8,latino,-65.26638,10.124365
LISA,MONEY,True,https://www.whosampled.com/LISA/MONEY/,2021,2,0,6,0,0,0,45OX2jjEw1l7lOFJfDP9fv,78,168227,82.6,55.3,23.4,16.3,0.0041199999999999,58.29489867225717,13.5,40.0,k-pop,3.6204245,-46.74793
Parker McCollum,To Be Loved By You,True,https://www.whosampled.com/Parker-McCollum/To-Be-Loved-By-You/,2021,0,0,1,0,2,0,6WuG5vCUiW5c4GTWIb9AI2,43,199680,47.5,80.5,3.77,0.0453,0.0,84.68669927789425,14.3,48.8,country,-46.90084,-17.090504
Oliver Tree,Life Goes On,True,https://www.whosampled.com/Oliver-Tree/Life-Goes-On/,2021,0,0,2,0,4,0,0eu4C55hL6x29mmeAjytzC,79,161803,70.0,49.0,7.6,18.6,0.0,81.28115536920568,11.7,56.89999999999999,alternative,20.599485,25.664288
Marshmello;Jonas Brothers,Leave Before You Love Me (with Jonas Brothers),True,https://www.whosampled.com/Marshmello/Leave-Before-You-Love-Me/,2021,0,0,5,0,0,0,4qu63nuBpdn0qHUHuObEj1,85,154983,72.1,73.8,4.03,0.2259999999999999,0.000441,83.22385278360122,11.8,63.7,dance,-9.27457,-11.638487
Olivia Rodrigo,deja vu,True,https://www.whosampled.com/Olivia-Rodrigo/deja-vu/,2021,4,0,11,0,0,0,6HU7h9RYOaPRFeh0R3UeAr,87,215506,44.2,61.2,11.2,58.4,0.00057,71.80060563708362,37.0,17.8,pop,59.252697,-17.580067
Bad Bunny,Yonaguni,True,https://www.whosampled.com/Bad-Bunny/Yonaguni/,2021,1,0,4,0,0,0,2JPLbjOn0wPCngEot2STUS,87,206710,64.4,64.8,11.8,27.6,0.0,84.01118099231307,13.5,44.0,latino,24.106457,-13.914605
Justin Bieber;Daniel Caesar;Giveon,Peaches (feat. Daniel Caesar & Giveon),True,https://www.whosampled.com/Justin-Bieber/Peaches/,2021,4,0,10,0,3,0,4iJyoBOLtHqaGxP12qzhQI,86,198081,67.7,69.6,11.9,32.1,0.0,76.65036105287678,42.0,46.400000000000006,pop,-19.25273,-39.6567
Rauw Alejandro,Todo De Ti,True,https://www.whosampled.com/Rauw-Alejandro/Todo-De-Ti/,2021,0,0,1,0,0,0,4fSIb4hdOQ151TILNsSEaF,82,199604,78.0,71.8,5.06,31.0,0.0163,88.6512928022362,9.32,34.2,latino,29.05321,-19.147331
Shawn Mendes;Tainy,Summer Of Love,True,https://www.whosampled.com/Shawn-Mendes/Summer-Of-Love/,2021,0,0,1,0,0,0,1wUKpuIo1b8FsLZTC2xB9c,0,184104,77.60000000000001,80.80000000000001,11.7,2.97,0.0127,84.47705567202422,10.3,49.4,dance,-10.231448,-22.254087
Elle King;Miranda Lambert,Drunk (And I Don't Wanna Go Home),True,https://www.whosampled.com/Elle-King/Drunk/,2021,2,0,8,0,1,0,0QULNNd9z5s35entfiiXoa,75,245625,61.2,88.4,4.590000000000001,0.516,0.0,84.9475890985325,9.97,62.6,blues,-34.127087,-3.956727
BTS,Butter,True,https://www.whosampled.com/BTS/Butter/,2021,4,0,16,0,3,0,6jjYDGxVJsWS0a5wlVF5vS,83,164952,75.9,45.9,9.48,0.3229999999999999,0.0,81.28115536920568,7.88,69.5,k-pop,-9.754599,48.459896
TWICE,The Feels,True,https://www.whosampled.com/TWICE/The-Feels/,2019,1,0,4,0,1,0,308Ir17KlNdlrbVLHWhlLe,78,198053,80.80000000000001,90.3,7.290000000000001,8.99,0.0,95.29466573491732,8.16,92.2,k-pop,-1.7538168,14.336512
Duncan Laurence,Arcade,True,https://www.whosampled.com/Duncan-Laurence/Arcade/,2019,3,0,8,0,2,0,1Xi84slp6FryDSCbzq4UCD,80,183624,45.0,32.9,4.41,81.8,0.109,46.73188912182623,13.5,26.6,pop,84.983505,8.767976
J Balvin;Skrillex,In Da Getto,True,https://www.whosampled.com/J-Balvin/In-Da-Getto/,2021,4,0,2,0,4,0,20JTNRnNUJL75tSJmtg2ZY,5,130666,92.4,72.3,4.66,1.77,0.00261,90.80829256929889,11.3,64.3,latin,-2.4917758,-19.266579
Thomas Rhett,Country Again,True,https://www.whosampled.com/Thomas-Rhett/Country-Again/,2021,0,0,2,0,0,0,3ovpz51ql3sXfcDc66DNFb,0,221240,46.7,48.1,2.55,22.7,0.0189,73.08176100628931,11.0,24.8,country,37.52721,-17.050514
LISA,LALISA,True,https://www.whosampled.com/LISA/LALISA/,2021,1,0,4,0,0,0,2KZ3sNqPogEyMUUH6A5HFy,73,200689,80.4,65.2,8.98,2.67,0.0782,76.1798276263685,11.8,85.39999999999999,k-pop,-4.614784,43.06217
Cole Swindell,Single Saturday Night,True,https://www.whosampled.com/Cole-Swindell/Single-Saturday-Night/,2020,0,0,2,0,0,0,0dA9bpWJw0yejIthqosxKb,0,189960,63.4,78.60000000000001,4.109999999999999,12.9,0.0,81.71907756813418,18.2,65.3,country,-0.3533567,3.9967217
Giveon,Heartbreak Anniversary,True,https://www.whosampled.com/Giveon/Heartbreak-Anniversary/,2020,0,0,12,0,0,0,3FAJ6O0NOHQV8Mc5Ri6ENp,84,198370,44.9,46.5,7.91,52.400000000000006,0.000102,63.68506871651526,30.3,54.3,pop,46.141422,11.288852
Luke Combs,Forever After All,True,https://www.whosampled.com/Luke-Combs/Forever-After-All/,2020,0,0,3,0,0,0,6IBcOGPsniK3Pso1wHIhew,79,232533,48.7,65.0,2.53,19.1,0.0,81.2438853948288,9.33,45.6,country,11.853712,-2.289204
Halsey,"I am not a woman, I'm a god",True,https://www.whosampled.com/Halsey/I-am-not-a-woman-I%27m-a-god/,2019,5,0,27,0,1,0,3XKjZcgNYtvCmBpE1nX7Wn,63,176413,51.7,70.0,4.52,0.375,3.85,74.8474260423946,6.34,51.8,indie-pop,-32.94373,-6.65182
The Weeknd,Blinding Lights,True,https://www.whosampled.com/The-Weeknd/Blinding-Lights/,2019,10,0,54,0,3,0,0VjIjW4GlUZAMYd2vXMi3b,91,200040,51.4,73.0,5.98,0.146,0.00954,77.80107151176333,8.97,33.4,pop,-68.79674,-15.266062
Dan + Shay,Glad You Exist,False,,2020,0,0,3,0,0,0,7oTUCpSwd2yVIUnzT5uaIv,1,144760,74.1,49.9,3.56,23.0,0.0,68.01304449103192,12.5,69.19999999999999,country,33.797413,39.69673
The Kid LAROI,WITHOUT YOU,True,https://www.whosampled.com/The-Kid-LAROI/WITHOUT-YOU/,2020,0,0,6,0,1,0,27OeeYzk6klgBh83TSvGMA,80,161384,66.2,41.3,2.99,21.3,0.0,71.17167481947357,13.4,46.7,hip-hop,21.127737,26.011648
Masked Wolf,Astronaut In The Ocean,True,https://www.whosampled.com/Masked-Wolf/Astronaut-In-The-Ocean/,2019,10,0,9,0,2,0,3Ofmpyhv5UAQ70mENzB277,79,132780,77.8,69.5,9.13,17.5,0.0,73.46377824365246,15.0,47.2,hip-hop,21.364801,-16.15897
Ed Sheeran,Visiting Hours,True,https://www.whosampled.com/Ed-Sheeran/Visiting-Hours/,2021,0,0,3,0,0,0,0MbP1Nr6DLXB7HFXD7QVwU,0,215506,47.1,39.6,3.36,77.0,0.0,74.44677381784301,7.290000000000001,26.3,pop,81.03241,-1.9562826
Regard;Troye Sivan;Tate McRae,You,True,https://www.whosampled.com/Regard/You/,2021,0,0,1,0,2,0,2cc8Sw1OnCuA5bV8nqWqpE,76,233386,69.1,69.5,3.67,5.92,0.0,79.3570929419986,6.47,51.4,edm,-9.556494,-17.36612
Clinton Kane,I GUESS I'M IN LOVE,True,https://www.whosampled.com/Clinton-Kane/I-GUESS-I%27M-IN-LOVE/,2021,0,0,2,0,0,0,1is8gU4RVcN4J8xItxWoOY,77,204093,42.2,34.0,3.51,87.7,0.00177,74.8054973212206,14.9,22.3,singer-songwriter,85.66748,-1.4259858
BTS,Permission to Dance,True,https://www.whosampled.com/BTS/Permission-to-Dance/,2021,0,0,9,0,0,0,3XYRV7ZSHqIRDG87DKTtry,80,187585,70.19999999999999,74.1,4.2700000000000005,0.544,0.0,80.61495457721874,33.7,64.60000000000001,k-pop,-24.326658,-30.001116
Jack Harlow;Pooh Shiesty,SUVs (Black on Black),True,https://www.whosampled.com/Jack-Harlow/SUVs/,2021,0,0,0,0,0,0,7ItTtfj4WQHe4SKNM22QFT,0,157675,81.3,70.6,42.5,13.900000000000002,0.0,84.16026088982065,9.94,44.0,hip-hop,-0.23645246,-43.752735
DaBaby,Ball If I Want To,True,https://www.whosampled.com/DaBaby/Ball-If-I-Want-To/,2021,1,0,0,0,0,0,6h1JK4zvCvvSHJFFVG3Vqf,0,112546,90.2,66.9,45.7,16.1,0.0,81.92406242720709,7.28,62.8,hip-hop,1.791418,-43.521748
Dan + Shay,Steal My Love,False,,2020,0,0,2,0,0,0,0vzSAyinyA619ZbrOaAi04,66,162120,59.0,63.3,3.28,61.9,0.0,80.04658746797114,15.7,75.1,country,48.581738,4.725509
Machine Gun Kelly;blackbear,my ex's best friend,True,https://www.whosampled.com/Machine-Gun-Kelly/my-ex%27s-best-friend/,2020,0,0,4,0,0,0,55rG9wHuUie0jH00vpjvfX,0,138970,73.2,67.10000000000001,4.15,0.3229999999999999,0.0,81.97996738877242,10.8,32.800000000000004,hip-hop,-59.012302,9.757211
Billie Eilish,NDA,True,https://www.whosampled.com/Billie-Eilish/NDA/,2021,1,0,2,0,0,0,38GBNKZUhfBkk3oNlWzRYd,77,195776,76.5,37.3,7.13,34.1,52.5,59.22664803167949,11.2,55.400000000000006,electro,-20.848742,73.047775
Nas;Eminem;EPMD,EPMD 2 (feat. Eminem & EPMD),True,https://www.whosampled.com/Nas/EPMD-2/,2021,0,0,1,0,0,1,4bRPecD9suGW8CfNZhzjS1,56,214434,68.89999999999999,83.0,30.2,12.1,0.0,86.59212671791288,31.8,70.3,hardcore,-11.900711,-37.878452
Olivia Rodrigo,happier,True,https://www.whosampled.com/Olivia-Rodrigo/happier/,2021,0,0,11,0,0,0,2tGvwE8GcFKwNdAXMnlbfl,86,175933,39.5,44.3,13.3,76.5,0.000967,60.163056137898906,8.39,33.800000000000004,pop,79.93161,-5.528247
Los Legendarios;Wisin;Jhay Cortez,Fiel,True,https://www.whosampled.com/Los-Legendarios/Fiel/,2021,0,0,1,0,1,0,7Bk0uXKk1uPT0XuQbpFzvs,75,261665,84.89999999999999,70.1,6.0,40.7,0.0,84.91497787095271,11.2,50.5,reggaeton,28.999472,-12.835574
Nas,Rare,True,https://www.whosampled.com/Nas/Rare/,2021,0,0,0,0,0,0,465eCPwUAz2qz7IdQaxUui,55,206777,49.8,85.1,32.6,13.2,0.000421,79.8416026088982,52.900000000000006,51.8,hardcore,-13.765319,-49.82217
24kGoldn;iann dior,Mood (feat. iann dior),True,https://www.whosampled.com/24kGoldn/Mood/,2020,5,0,12,0,1,0,4jPy3l0RUwlUI9T5XHBW2m,83,140533,70.1,71.6,3.61,17.4,0.0,88.34381551362685,32.4,73.2,pop,-0.9317402,0.39794368
Billie Eilish,Billie Bossa Nova,True,https://www.whosampled.com/Billie-Eilish/Billie-Bossa-Nova/,2021,0,0,2,0,0,0,2KnuaZYoGzDoHiBTNYOTXG,76,196730,89.5,38.9,11.0,22.2,3.46,54.03214535290007,10.5,54.900000000000006,electro,0.98416746,54.83001
Billie Eilish,Oxytocin,True,https://www.whosampled.com/Billie-Eilish/Oxytocin/,2021,0,0,1,0,0,0,4t2OeILB07eMGTXSUbMPEu,72,210232,75.7,59.8,5.800000000000001,9.04,55.1,69.2150011646867,15.0,18.0,electro,-29.839441,69.05473
Billie Eilish,I Didn't Change My Number,True,https://www.whosampled.com/Billie-Eilish/I-Didn%27t-Change-My-Number/,2021,0,0,0,0,0,0,7bcy34fBT2ap1L4bfPsl9q,75,158463,84.89999999999999,48.0,22.6,61.2,26.9,78.26228744467738,29.5,67.7,electro,38.45035,33.38371
Billie Eilish,Lost Cause,True,https://www.whosampled.com/Billie-Eilish/Lost-Cause/,2021,0,0,2,0,0,0,4TmPunCnlJjiKu2iYhqapU,0,212496,67.10000000000001,33.6,24.1,70.5,0.751,65.8746797111577,5.7700000000000005,51.8,electro,58.738014,10.729037
Billie Eilish,my future,True,https://www.whosampled.com/Billie-Eilish/my-future/,2020,0,0,10,0,0,0,2ygvZOXrIeVL4xZmAWJT2C,72,208155,44.4,30.9,6.2,79.5,13.2,54.404845096669,35.2,8.75,electro,89.34195,4.900531
Bella Poarch,Build a Bitch,True,https://www.whosampled.com/Bella-Poarch/Build-a-Bitch/,2021,1,0,7,0,1,0,7BoobGhD4x5K96Me0hqC8Q,76,122772,85.5,46.3,3.67,21.7,0.00177,70.71977638015375,34.7,86.6,alternative,12.853291,52.562492
Olivia Rodrigo,drivers license,True,https://www.whosampled.com/Olivia-Rodrigo/drivers-license/,2021,7,0,40,0,0,0,5wANPM4fQCJwkGd4rN57mH,88,242013,56.10000000000001,43.1,5.779999999999999,76.8,0.00142,64.40251572327044,10.6,13.7,pop,77.91173,-3.160565
Lil Tjay;6LACK,Calling My Phone,True,https://www.whosampled.com/Lil-Tjay/Calling-My-Phone/,2021,1,0,2,0,0,0,3J8EOeKLTLXORtWPpOU5bE,81,205458,90.7,39.3,5.390000000000001,45.1,0.000135,69.87188446307944,13.5,20.200000000000003,r-n-b,65.91017,-8.194327
Imagine Dragons,Follow You,True,https://www.whosampled.com/Imagine-Dragons/Follow-You/,2021,0,0,1,0,0,0,1skWrgJrEi6ZB4Wt5tYYAb,2,175643,54.2,73.2,5.21,0.209,0.00792,77.69857908222689,49.6,48.9,rock,-31.245684,-47.56023
Dua Lipa;DaBaby,Levitating (feat. DaBaby),True,https://www.whosampled.com/Dua-Lipa/Levitating/,2020,7,0,16,0,3,0,5nujrmhLynf4yMoMtj8AQF,85,203064,70.19999999999999,82.5,6.01,0.8829999999999999,0.0,87.80340088516189,6.74,91.5,dance,-8.369944,29.493353
Big Red Machine;Taylor Swift,Renegade (feat. Taylor Swift),True,https://www.whosampled.com/Big-Red-Machine/Renegade/,2021,0,0,1,0,0,0,73W5aXorr5vxrySFcoZqIN,69,254466,53.0,71.2,4.61,44.0,2.33,67.54716981132076,9.31,57.7,folk,39.91378,-2.0127933
Wizkid;Tems,Essence (feat. Tems),True,https://www.whosampled.com/Wizkid/Essence/,2020,2,0,2,0,1,0,5FG7Tl93LdH117jEKYl3Cm,75,248040,84.89999999999999,70.7,11.3,2.66,0.0008579999999999,77.48427672955975,61.8,60.2,dancehall,-21.493202,-49.75912
Jake Owen,Made For You,True,https://www.whosampled.com/Jake-Owen/Made-For-You/,2019,0,0,2,0,0,0,7vF3xkCMvZjAe2nTWY0uQZ,70,238400,58.1,44.1,2.68,77.0,0.00275,73.63149312834847,11.1,33.7,country,78.706825,0.36615586
Billie Eilish,Your Power,True,https://www.whosampled.com/Billie-Eilish/Your-Power/,2021,1,0,7,0,0,0,042Sl6Mn83JHyLEqdK7uI0,77,245896,63.2,28.4,8.01,93.2,0.0476,40.107151176333566,23.3,20.8,electro,86.24524,14.00901
Gabby Barrett,The Good Ones,True,https://www.whosampled.com/Gabby-Barrett/The-Good-Ones/,2020,0,0,2,0,0,0,0TgKHlvgZEfaiALjWqyidx,0,215140,51.9,55.2,2.59,18.0,0.0,82.045189843932,14.9,33.1,country,15.527473,-12.711776
Travis Scott,goosebumps,True,https://www.whosampled.com/Travis-Scott/goosebumps/,2016,12,0,7,0,1,0,6gBFPUFcJLzWGx4lenP6h2,84,243836,84.1,72.8,4.84,8.469999999999999,0.0,89.74609829955742,14.9,43.0,hip-hop,-57.29636,10.505791
