artists,track_name,URL_Found,Whosampled_URL,Real_Year,Sampled_By_Count,Is_Sample_Of,Covered_By_Count,Is_Cover_Of,Remixed_By_Count,Is_Remix_Of,track_id,popularity,duration_ms,danceability,energy,speechiness,acousticness,instrumentalness,loudness,liveness,valence,track_genre,tsne_x,tsne_y
The Fray,Love Don't Die,True,https://www.whosampled.com/The-Fray/Love-Don%27t-Die/,2013,0,0,1,0,0,0,6IDDwI0YOCAUDhMZltQekS,56,183093,63.2,80.5,3.03,0.95,0.0,84.53761938038667,19.7,27.500000000000004,piano,-69.46336,-9.315637
Florida Georgia Line,Stay,True,https://www.whosampled.com/Florida-Georgia-Line/Stay/,2012,0,0,0,1,0,0,6rfDtM5aHbsaLGAUxfIgpN,2,200426,49.3,93.1,4.1000000000000005,8.38,0.0,91.5164220824598,17.2,55.60000000000001,country,-50.61121,-16.16204
Capital Cities,Safe And Sound,True,https://www.whosampled.com/Capital-Cities/Safe-And-Sound/,2013,8,0,17,0,9,0,6Z8R6UsFuGXGtiIxiD8ISb,83,192789,65.5,81.89999999999999,3.16,0.0176,0.374,82.84183554623806,10.4,76.6,rock,-32.41811,6.655079
The Neighbourhood,Sweater Weather,True,https://www.whosampled.com/The-Neighbourhood/Sweater-Weather/,2013,11,0,29,0,4,0,2QjOHCTQ1Jl3zawyYOpxh6,93,240400,61.2,80.7,3.36,4.95,1.77,92.35499650593992,10.1,39.8,alt-rock,-71.08622,-14.232576
Calvin Harris;Ayah Marar,Thinking About You (feat. Ayah Marar),True,https://www.whosampled.com/Calvin-Harris/Thinking-About-You/,2012,3,0,4,0,7,0,1KtD0xaLAikgIt5tPbteZQ,66,247933,72.5,87.4,3.96,0.262,0.0412,88.13883065455393,9.58,74.8,progressive-house,-32.962437,8.002846
Zedd;Hayley Williams,Stay The Night,True,https://www.whosampled.com/Zedd/Stay-The-Night/,2013,10,0,10,0,7,0,0U5Zq7fyxNUdTG731F4Vzw,0,217346,59.5,73.8,4.1000000000000005,10.7,0.0,90.96203121360354,9.47,46.1,edm,-48.94614,2.6587613
Eli Young Band,Drunk Last Night,True,https://www.whosampled.com/Eli-Young-Band/Drunk-Last-Night/,2013,0,0,2,0,1,0,1P3LDx6pTNu44IYNE6ziCU,1,220360,52.5,85.8,3.55,4.66,0.0,84.24411833216864,10.2,56.99999999999999,country,-43.886444,-12.09747
Fall Out Boy,Alone Together,True,https://www.whosampled.com/Fall-Out-Boy/Alone-Together/,2013,1,0,5,0,2,0,75SixhsPWyRRmtqHeffiXr,60,203413,55.2,91.5,5.59,0.13,0.00374,88.14814814814814,20.6,60.6,emo,-42.603615,-21.023813
Enrique Iglesias,Heart Attack,True,https://www.whosampled.com/Enrique-Iglesias/Heart-Attack/,2013,0,0,1,0,0,0,1zpFTApsJK8n8FO9XUeGJW,45,170146,55.3,89.2,6.67,6.39,0.0,86.62939669228977,42.6,47.9,latin,-36.378944,-35.35612
John Mayer;Katy Perry,Who You Love (feat. Katy Perry),True,https://www.whosampled.com/John-Mayer/Who-You-Love/,2013,0,0,4,0,0,0,7IByJvSqRFltGyiiIiL4wn,64,249933,69.39999999999999,35.099999999999994,3.82,81.3,0.165,54.57255998136501,9.7,69.1,singer-songwriter,70.12854,19.753265
Lana Del Rey,Summertime Sadness,True,https://www.whosampled.com/Lana-Del-Rey/Summertime-Sadness/,2012,16,0,38,0,14,0,1L9lVBNz63TWO3mNxbiIa5,0,263973,55.900000000000006,67.4,3.29,3.12,0.0,76.91125087351503,12.1,19.7,pop,-76.64894,-14.511869
Paramore,Still into You,True,https://www.whosampled.com/Paramore/Still-into-You/,2013,6,0,27,0,5,0,1yjY7rpaAQvKwpdUliHx0d,80,216013,60.2,92.3,4.4,0.98,0.0,87.91521080829257,5.609999999999999,76.5,emo,-38.175835,0.15790099
Bon Jovi,Livin' On A Prayer,True,https://www.whosampled.com/Bon-Jovi/Livin%27-On-A-Prayer/,1986,26,0,83,0,0,0,4We0B3YSBF7utFlQtns2em,1,250626,52.7,89.0,3.38,6.78,0.0162,89.90915443745632,22.2,81.8,metal,-19.996113,11.251505
Zedd;Foxes,Clarity,True,https://www.whosampled.com/Zedd/Clarity/,2012,41,0,45,0,15,0,3Wd1EKFFLy7HZeZF7PEIge,0,271426,50.9,78.10000000000001,7.21,3.91,0.0,89.23363615187515,7.489999999999999,17.599999999999998,edm,-77.1223,-22.76788
Daft Punk;Pharrell Williams;Nile Rodgers,Get Lucky (feat. Pharrell Williams & Nile Rodgers),True,https://www.whosampled.com/Daft-Punk/Get-Lucky/,2013,30,0,73,0,2,0,69kOkLUCkxIZYexIgSG8rq,75,369626,81.0,79.3,4.03,3.78,0.000177,61.63522012578616,7.199999999999999,86.3,electro,0.95772797,31.830976
Pearl Jam,Sirens,True,https://www.whosampled.com/Pearl-Jam/Sirens/,2012,1,0,8,0,1,0,1cAMXz9mnvrqyQLSG4KeeE,63,340320,52.3,84.7,2.8000000000000003,0.309,0.00121,78.01537386443049,14.6,47.5,grunge,-44.38051,-18.207039
Calvin Harris;Ellie Goulding,I Need Your Love (feat. Ellie Goulding),True,https://www.whosampled.com/Calvin-Harris/I-Need-Your-Love/,2012,3,0,16,0,3,0,05SBRd4fXgn8FX7bf8BCAE,71,234506,69.5,86.9,4.83,41.0,0.0,81.84486373165619,23.7,57.99999999999999,electro,33.183193,-7.149885
Phillip Phillips,"Gone, Gone, Gone",True,https://www.whosampled.com/Phillip-Phillips/Gone-Gone-Gone/,2013,0,0,0,0,3,0,2qHiyBpxyOXnRGG3t2iE96,67,209693,66.4,64.2,3.8,12.9,0.0,77.67528534824133,11.4,50.1,folk,-0.29304802,-16.04292
Linkin Park;Steve Aoki,A LIGHT THAT NEVER COMES,True,https://www.whosampled.com/Linkin-Park/A-LIGHT-THAT-NEVER-COMES/,2013,1,0,0,0,6,0,3BnBKNItMng824sLx0pUfy,62,229439,68.7,87.1,6.890000000000001,0.2249999999999999,0.7080000000000001,79.67854647099931,13.4,53.900000000000006,grunge,-28.55223,-19.04817
Avicii,You Make Me,True,https://www.whosampled.com/Avicii/You-Make-Me/,2013,2,0,1,0,4,0,1rP4gzPMHrM7NyI1LPCRmv,0,230746,56.89999999999999,69.5,4.23,0.148,0.221,78.38807360819939,37.6,50.6,dance,-27.114567,-32.61656
Armin van Buuren;Trevor Guthrie,This Is What It Feels Like,True,https://www.whosampled.com/Armin-van-Buuren/This-Is-What-It-Feels-Like/,2013,1,0,6,0,11,0,5GjnIpUlLGEIYk052ISOw9,67,204360,55.1,83.3,3.0,3.91,0.000277,81.14139296529234,6.32,14.499999999999998,progressive-house,-75.8877,-26.380182
Sheryl Crow,Easy,True,https://www.whosampled.com/Sheryl-Crow/Easy/,2013,1,0,2,0,0,0,1kvZL6kWs8JTgw9dJQJYWY,0,253360,52.1,56.99999999999999,2.45,2.54,0.000117,79.51083158630328,7.57,60.8,singer-songwriter,-38.816425,7.1107697
Marc Anthony,Vivir Mi Vida,True,https://www.whosampled.com/Marc-Anthony/Vivir-Mi-Vida/,2013,2,0,5,1,1,0,3QHMxEOAGD51PDlbFPHLyJ,76,252346,65.60000000000001,87.7,3.42,34.5,0.0,90.39366410435592,34.9,89.4,salsa,17.49923,12.901115
Selena Gomez,Come & Get It,True,https://www.whosampled.com/Selena-Gomez/Come/,2013,0,0,3,0,0,0,1tvmqQlkFrVun9HO4dlNdr,0,231413,55.2,78.3,5.04,0.8869999999999999,0.026,86.16818075937573,9.54,57.49999999999999,dance,-31.372454,-6.5863824
Avenged Sevenfold,Hail to the King,True,https://www.whosampled.com/Avenged-Sevenfold/Hail-to-the-King/,2013,0,0,6,0,0,0,4SmpAA1iwwFw9hQ5FmYLuq,0,305906,57.99999999999999,91.6,3.87,0.0295,2.55,85.1479152108083,12.6,68.0,alternative,-36.474113,-2.995442
Icona Pop;Charli XCX,I Love It (feat. Charli XCX),True,https://www.whosampled.com/Icona-Pop/I-Love-It/,2012,14,0,17,0,16,0,6HZ9VeI5IRFCNQLXhpF4bq,70,157152,71.1,90.6,2.8400000000000003,0.952,0.00164,93.0025623107384,15.3,82.39999999999999,edm,-32.58814,5.2996573
The Lumineers,Ho Hey,True,https://www.whosampled.com/The-Lumineers/Ho-Hey/,2012,3,0,28,0,0,0,1K3LRUEcUz5FMtPYyg0F45,79,163133,68.2,47.1,3.01,76.5,0.0,62.66946191474493,9.08,42.1,folk,72.88096,4.0973687
Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),True,https://www.whosampled.com/Fall-Out-Boy/My-Songs-Know-What-You-Did-In-The-Dark/,2013,0,0,1,0,0,0,0xGnsciJBQYbMQUSUAFZkt,0,186826,55.7,92.4,6.4,2.71,0.000332,85.22245515956207,53.7,56.6,emo,-35.732735,-37.425083
Darius Rucker,Wagon Wheel,True,https://www.whosampled.com/Darius-Rucker/Wagon-Wheel/,2013,0,0,3,1,0,0,7nzbdPYlaoVjV42rzBWStH,1,298400,53.5,66.10000000000001,3.04,46.0,0.0,72.1872816212439,14.2,59.6,country,41.22434,-2.068959
Kip Moore,Hey Pretty Girl,True,https://www.whosampled.com/Kip-Moore/Hey-Pretty-Girl/,2012,2,0,1,0,0,0,2yqTEHKrGZQ4TjdrW83E8p,0,215920,43.1,37.3,2.77,16.0,0.00141,55.31795946890286,25.9,8.84,country,-39.87387,-43.316776
David Guetta,Play Hard (feat. Ne-Yo & Akon),True,https://www.whosampled.com/David-Guetta/Play-Hard/,2012,5,0,3,0,1,0,5YPMEOJ58kfl56VHxTgwx3,70,201000,69.1,92.1,5.33,17.299999999999997,0.0,97.51688795713956,33.1,80.0,edm,-11.885069,3.405743
PSY,Gentleman,True,https://www.whosampled.com/PSY/Gentleman/,2013,22,0,10,0,0,0,2BWd1qRu8mc6H0HbDtn8Dr,50,194546,87.8,72.3,10.2,0.2269999999999999,0.0,89.91381318425344,5.16,61.9,k-pop,-2.5148475,-21.412275
Tim McGraw;Taylor Swift;Keith Urban,Highway Don't Care,True,https://www.whosampled.com/Tim-McGraw/Highway-Don%27t-Care/,2013,0,0,3,0,0,0,60hGQrn24APqEFSLObLeDc,57,279066,47.7,79.0,3.94,2.6100000000000003,0.0,80.53109713487072,8.41,50.5,country,-44.85062,-12.896967
Demi Lovato,Heart Attack,True,https://www.whosampled.com/Demi-Lovato/Heart-Attack/,2013,1,0,24,0,9,0,1V6gIisPpYqgFeWbMLI0bA,78,210840,50.4,78.5,10.4,7.380000000000001,0.0,83.07477288609364,23.9,50.2,dance,-32.64688,-26.329065
Nicki Minaj;Lil Wayne,High School,True,https://www.whosampled.com/Nicki-Minaj/High-School/,2012,1,0,0,0,0,0,3UrNOHCzVxX2KZbNcKQAyu,67,218746,53.1,68.30000000000001,33.300000000000004,13.5,0.265,86.37782436524574,22.0,21.2,dance,-5.504551,-48.72544
Krewella,Live for the Night,True,https://www.whosampled.com/Krewella/Live-for-the-Night/,2013,2,0,1,0,5,0,457p7UH7hoHrbA2iI4PSCA,50,206480,49.9,84.3,11.3,1.38,0.0,95.08502212904727,12.4,53.3,dub,-49.107258,-13.773642
Baauer,Harlem Shake,True,https://www.whosampled.com/Baauer/Harlem-Shake/,2012,21,0,2,0,0,0,01XFgRZfZI7oBagNf1Loml,58,196664,45.2,79.4,4.83,1.11,0.182,81.4488702539017,41.6,28.2,electronic,-47.685555,-43.787113
Krewella,Alive,True,https://www.whosampled.com/Krewella/Alive/,2012,5,0,1,0,6,0,59mrqUmhpmcfUns8BKkV30,53,288880,67.10000000000001,82.8,5.3,0.304,0.287,91.90309806662007,35.2,56.99999999999999,dub,-27.68082,-31.771381
Bruno Mars,Locked out of Heaven,True,https://www.whosampled.com/Bruno-Mars/Locked-out-of-Heaven/,2012,15,0,40,0,5,0,3w3y8KPTfNeOKPiqUTakBh,87,233478,72.6,69.8,4.31,4.9,0.0,86.04239459585372,30.9,86.7,dance,-18.1309,29.819586
Calvin Harris;Florence Welch,Sweet Nothing (feat. Florence Welch),True,https://www.whosampled.com/Calvin-Harris/Sweet-Nothing/,2012,1,0,8,0,7,0,24LS4lQShWyixJ0ZrJXfJ5,72,212560,57.3,92.9,10.9,19.7,0.0112,87.0812951316096,5.67,58.2,progressive-house,6.955934,-0.065312736
Swedish House Mafia;John Martin,Don't You Worry Child,True,https://www.whosampled.com/Swedish-House-Mafia/Don%27t-You-Worry-Child/,2012,12,0,48,0,3,0,043bfUkTydw0xJ5JjOT91w,63,403493,63.2,88.0,4.63,1.44,0.21,86.57349173072443,11.8,33.800000000000004,progressive-house,-67.83186,-12.054565
Mumford & Sons,I Will Wait,False,,2012,1,0,9,0,3,0,5PRRthP9SLfbXB359MfIWv,71,276720,48.6,76.9,3.41,1.1900000000000002,0.832,81.50011646866993,19.7,39.3,folk,-49.826496,-22.371122
Imagine Dragons,It's Time,True,https://www.whosampled.com/Imagine-Dragons/It%27s-Time/,2012,2,0,19,0,7,0,7MXlTgQeo3IVlMpLnZuhxc,72,240306,65.60000000000001,88.4,3.72,1.62,0.0,83.32634521313767,14.4,86.0,rock,-12.743491,18.01635
Justin Bieber;Ludacris,All Around The World,True,https://www.whosampled.com/Justin-Bieber/All-Around-The-World/,2012,1,0,6,0,0,0,6Ymn4OG92TLMGczLHLwUhh,0,244826,69.39999999999999,81.6,19.1,2.17,0.000292,87.04868390402982,16.7,79.80000000000001,pop,-7.8155036,6.213553
Of Monsters and Men,Little Talks,True,https://www.whosampled.com/Of-Monsters-and-Men/Little-Talks/,2011,0,0,13,0,0,0,7xgGHigPZUBKc4neD74lpG,0,266333,44.6,76.0,3.2099999999999995,1.59,0.0,83.43349638947123,31.9,34.599999999999994,folk,-49.779312,-40.16141
OneRepublic,If I Lose Myself,True,https://www.whosampled.com/OneRepublic/If-I-Lose-Myself/,2013,3,0,12,0,2,0,5xS9R5yNeVsB9shSR60eX3,61,241653,49.1,68.8,4.53,8.49,0.0,77.2606568832984,11.1,27.9,piano,-73.9525,-13.212365
Alicia Keys,Girl on Fire,True,https://www.whosampled.com/Alicia-Keys/Girl-on-Fire/,2012,4,0,20,0,2,0,4esOae7i4rqTbAu9o5Pxco,77,224920,48.2,70.6,6.069999999999999,13.5,0.106,78.60237596086652,10.5,14.4,soul,-79.1885,-26.59314
Phillip Phillips,Home,True,https://www.whosampled.com/Phillip-Phillips/Home/,2012,5,0,14,0,0,0,1J6bub4kiTe4h0RCo9IszE,60,210173,60.6,82.6,3.0700000000000003,2.56,0.00156,77.30724435126952,11.7,32.2,folk,-67.139084,-11.37764
Fall Out Boy,The Phoenix,True,https://www.whosampled.com/Fall-Out-Boy/The-Phoenix/,2013,1,0,2,0,0,0,7jwDuO7UZvWs77KNj9HbvF,70,244960,56.2,96.4,7.199999999999999,0.0538999999999999,0.000157,91.5117633356627,57.9,41.0,emo,-44.590057,-48.64378
The Lumineers,Stubborn Love,True,https://www.whosampled.com/The-Lumineers/Stubborn-Love/,2012,0,0,3,0,0,0,7x46YkKAwp3yZpaa72n5Mu,68,279000,59.6,54.400000000000006,3.62,60.4,1.7000000000000002,50.6638714185884,26.200000000000003,26.200000000000003,folk,62.478542,-16.4678
The Script;will.i.am,Hall of Fame (feat. will.i.am),True,https://www.whosampled.com/The-Script/Hall-of-Fame/,2012,2,0,14,0,0,0,7wMq5n8mYSKlQIGECKUgTX,80,202533,42.1,87.3,5.64,6.54,0.0,85.21313766596785,12.3,62.9,rock,-48.086475,-7.9447565
Hunter Hayes,Wanted,True,https://www.whosampled.com/Hunter-Hayes/Wanted/,2012,0,0,15,0,0,0,1Xb5x1ESNwewKHUc7TaZG7,0,228840,41.4,47.5,2.99,26.8,0.0,69.61099464244118,8.16,30.0,country,37.32693,-15.512158
Adele,Skyfall,True,https://www.whosampled.com/Adele/Skyfall/,2012,6,0,46,0,7,0,6VObnIkLVruX4UVyxWhlqm,78,286480,34.599999999999994,55.2,2.82,41.7,0.0,73.46843699044958,11.4,7.89,british,44.450405,-16.88946
Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),True,https://www.whosampled.com/Ne-Yo/Let-Me-Love-You/,2011,27,0,26,0,2,0,18XA6zBzc8shI011scLk5k,0,252226,66.9,72.3,3.46,21.3,0.0,81.22059166084324,52.3,26.9,dance,-41.403587,-45.23296
Carly Rae Jepsen,Call Me Maybe,True,https://www.whosampled.com/Carly-Rae-Jepsen/Call-Me-Maybe/,2011,54,0,52,0,4,0,20I6sIOMTCkB6w7ryavxtO,80,193400,78.3,57.99999999999999,4.08,1.14,0.000228,74.94060097833682,10.8,66.0,electro,-7.0231915,46.933014
The Lonely Island;Adam Levine;Kendrick Lamar,YOLO,True,https://www.whosampled.com/The-Lonely-Island/YOLO/,2013,0,0,0,0,1,0,6XmT1eehtQjAtuZL3gMBNT,46,184640,61.1,87.1,27.500000000000004,2.8400000000000003,0.0,91.45585837409736,15.7,66.0,comedy,-9.73018,-33.003036
Frank Ocean,Thinkin Bout You,True,https://www.whosampled.com/Frank-Ocean/Thinkin-Bout-You/,2012,16,0,29,1,0,0,7DfFc7a6Rwfi3YQMRbDMau,78,200746,72.1,33.900000000000006,5.319999999999999,40.9,0.153,53.29140461215933,9.73,20.0,soul,65.44541,-7.9590526
Ellie Goulding,Lights,True,https://www.whosampled.com/Ellie-Goulding/Lights/,2010,30,0,20,0,13,0,4QCnMOWxfDkTsGt82HULFb,66,245853,69.89999999999999,73.2,3.04,7.71,0.198,76.06335895644071,13.1,67.60000000000001,edm,2.353228,11.456637
Lifehouse;Natasha Bedingfield,Between The Raindrops,True,https://www.whosampled.com/Lifehouse/Between-The-Raindrops/,2013,1,0,2,0,1,0,1nxGSNnFCpDLwm3umCOUpi,54,285120,52.5,63.0,3.17,0.119,0.0,74.35825762869787,14.6,23.6,grunge,-77.03701,-15.077973
OneRepublic,Feel Again,True,https://www.whosampled.com/OneRepublic/Feel-Again/,2013,2,0,4,0,3,0,75hLNJfiXV5k2YGrbGEW51,59,185080,46.7,81.5,5.24,1.98,0.000123,68.50687165152574,11.8,33.5,piano,-61.908737,-13.26044
Samantha Barks,On My Own,True,https://www.whosampled.com/Samantha-Barks/On-My-Own/,2012,0,0,1,1,0,0,1VVyW3Dl9LaCAcPIhygo9A,52,191066,30.3,11.6,5.52,88.8,0.0,32.19659911483811,14.4,19.6,show-tunes,89.74546,13.180229
Neon Trees,Everybody Talks,True,https://www.whosampled.com/Neon-Trees/Everybody-Talks/,2011,1,0,5,0,0,0,2iUmqdfGZcHIhS3b9E9EWq,80,177280,47.1,92.4,5.86,0.301,0.0,87.24901001630562,31.3,72.5,alt-rock,-23.09157,0.84005094
Owl City;Carly Rae Jepsen,Good Time,True,https://www.whosampled.com/Owl-City/Good-Time/,2012,18,0,22,0,6,0,1kPpge9JDLpcj15qgrPbYX,78,205933,56.00000000000001,87.2,14.000000000000002,2.39,0.000698,85.55788492895412,37.1,68.2,indie-pop,-19.74734,0.81172955
David Guetta;Sia,Titanium (feat. Sia),True,https://www.whosampled.com/David-Guetta/Titanium/,2011,27,0,75,0,6,0,0TDLuuLlV54CkRRUOahJb4,80,245040,60.4,78.7,10.3,6.79,15.0,88.3298392732355,12.7,30.1,dance,-71.2672,-11.351026
Maroon 5;Wiz Khalifa,Payphone,True,https://www.whosampled.com/Maroon-5/Payphone/,2012,12,0,59,0,3,0,1XGmzt0PVuFgQYYnV2It7A,84,231173,74.3,75.2,4.14,1.88,0.0,83.02352667132541,28.7,54.50000000000001,pop,-22.086674,-27.960772
Jason Mraz,I Won't Give Up,True,https://www.whosampled.com/Jason-Mraz/I-Won%27t-Give-Up/,2012,0,0,43,0,0,0,5ivF4eQBqJiVL5IAE9jRyl,69,240165,48.3,30.3,4.29,69.39999999999999,0.0,58.5883997204752,11.5,13.900000000000002,acoustic,78.71467,-2.8862317
Matchbox Twenty,She's so Mean,True,https://www.whosampled.com/Matchbox-Twenty/She%27s-so-Mean/,2012,0,0,1,0,3,0,2toY6JyyfKy9TwNk3Ou2XG,61,232320,67.2,87.5,3.78,1.36,0.0,88.07826694619148,27.9,67.60000000000001,grunge,-18.235283,-2.7691774
One Direction,What Makes You Beautiful,True,https://www.whosampled.com/One-Direction/What-Makes-You-Beautiful/,2011,12,0,39,0,0,0,4cluDES4hQEUhmXj6TXkSo,84,199986,72.6,78.7,7.37,0.8999999999999999,0.0,93.82716049382717,5.96,88.8,pop,-9.903176,32.13334
The Wanted,Glad You Came,True,https://www.whosampled.com/The-Wanted/Glad-You-Came/,2011,13,0,17,0,3,0,5yDL13y5giogKs2fSNf7sj,79,197935,72.2,85.1,6.39,3.19,0.0,87.4027486606103,10.8,45.2,rock,-58.473515,2.2858007
Calvin Harris;Ne-Yo,Let's Go (feat. Ne-Yo),True,https://www.whosampled.com/Calvin-Harris/Let%27s-Go/,2012,5,0,1,0,2,0,4wkQmYpAaMe41Rc3sYZ7Vz,66,232800,71.0,88.2,5.949999999999999,0.777,0.771,91.7866293966923,29.4,87.5,progressive-house,-13.6288,7.290975
Linkin Park,BURN IT DOWN,True,https://www.whosampled.com/Linkin-Park/BURN-IT-DOWN/,2012,2,0,8,0,2,0,7oVEtyuv9NBmnytsCIsY5I,75,230253,58.5,97.2,5.34,1.43,0.0,84.71465175867692,7.07,58.5,alternative,-41.00647,-12.276707
Green Day,Oh Love,True,https://www.whosampled.com/Green-Day/Oh-Love/,2012,0,0,1,0,0,0,1qIgyDoc2rwtq8w49jeWL8,56,303293,42.7,77.3,11.5,0.605,0.0004019999999999,85.77684602841835,3.96,69.5,punk,-43.556892,-0.99784255
Grouplove,Tongue Tied,True,https://www.whosampled.com/Grouplove/Tongue-Tied/,2011,5,0,3,0,4,0,0GO8y8jQk1PkHzS31d699N,79,218013,56.00000000000001,93.6,4.390000000000001,0.847,0.0,78.26228744467738,16.1,37.1,alt-rock,-62.608345,-12.691735
NERO,Promises,True,https://www.whosampled.com/NERO/Promises/,2011,2,0,1,0,2,0,4UZifG6wVTl3dFIeHKLi8y,56,257386,48.4,94.3,6.47,0.00377,0.4519999999999999,85.1153039832285,59.3,34.5,drum-and-bass,-44.614204,-49.63658
The Black Keys,Gold on the Ceiling,True,https://www.whosampled.com/The-Black-Keys/Gold-on-the-Ceiling/,2011,1,0,11,0,0,0,5lN1EH25gdiqT1SFALMAq1,70,224333,50.5,83.3,4.75,0.772,0.0078999999999999,83.86675984160263,6.9,56.49999999999999,blues,-44.18219,-11.380092
Skrillex;Sirah,Bangarang (feat. Sirah),True,https://www.whosampled.com/Skrillex/Bangarang/,2011,48,0,3,0,0,0,6VRhkROS2SZHGlp0pxndbJ,71,215253,71.6,97.2,19.6,1.4500000000000002,0.0032199999999999,94.7216398788726,31.7,57.6,edm,-31.425228,-28.250887
M83,Midnight City,True,https://www.whosampled.com/M83/Midnight-City/,2011,26,0,6,0,5,0,6GyFP1nfCDB8lbD2bG0Hq9,76,243960,50.7,72.89999999999999,3.93,1.82,0.00014,80.29350104821803,6.58,27.200000000000003,french,-72.81246,-15.967243
Linkin Park,LOST IN THE ECHO,True,https://www.whosampled.com/Linkin-Park/LOST-IN-THE-ECHO/,2012,2,0,0,0,1,0,2oNYsdCasRRlz1shXFAz7D,67,205120,54.6,98.0,6.19,1.54,0.0,91.37665967854647,31.0,47.8,alternative,-48.370705,-26.033419
Adele,Set Fire to the Rain,True,https://www.whosampled.com/Adele/Set-Fire-to-the-Rain/,2011,16,0,64,0,2,0,3di5hcvxxciiqwMH1jarhY,80,242973,60.3,67.0,2.49,0.408,0.000168,87.36081993943628,11.2,44.6,british,-54.47,5.0141
Adele,Rumour Has It,True,https://www.whosampled.com/Adele/Rumour-Has-It/,2011,3,0,7,0,0,0,5mFMb5OHI3cN0UjITVztCj,67,223266,61.2,74.9,4.46,61.5,0.0,82.08711856510598,16.7,57.4,british,43.053875,-4.2820516
Flo Rida,Good Feeling,True,https://www.whosampled.com/Flo-Rida/Good-Feeling/,2011,8,0,6,0,8,0,5MshZbukugLnrby4mHO7tW,1,248133,70.6,89.0,6.87,5.88,0.288,84.72862799906825,30.5,68.5,dance,-17.01868,-2.1028981
Snoop Dogg;Wiz Khalifa;Bruno Mars,"Young, Wild & Free",True,https://www.whosampled.com/Snoop-Dogg/Young-Wild/,2011,0,0,40,0,0,0,274sq7UtbMqE8hoswJPagJ,0,207333,72.2,65.5,13.7,5.25,0.0,75.51362683438155,11.5,53.2,funk,-3.3337224,-24.486712
Christina Perri,A Thousand Years,True,https://www.whosampled.com/Christina-Perri/A-Thousand-Years/,2011,1,0,81,0,1,0,6lanRgr6wXibZr8KgzXxBl,81,285120,42.1,40.7,2.67,30.9,0.0961,70.76170510132775,11.0,16.1,dance,42.835148,-17.946104
Bruno Mars,It Will Rain,True,https://www.whosampled.com/Bruno-Mars/It-Will-Rain/,2011,3,0,42,0,0,0,1COGvQEAtPxisowBQjZyZ1,0,257720,57.2,83.5,5.16,33.7,0.0,73.64546936873981,8.200000000000001,46.8,dance,33.95658,-8.405946
Shinedown,Bully,True,https://www.whosampled.com/Shinedown/Bully/,2011,10,0,42,0,0,0,3HhHP56irp6Z0c8q0gv6tK,31,242746,51.9,96.9,6.619999999999999,0.00903,0.0,94.54460750058234,11.1,48.0,grunge,-60.192207,-19.14272
Adele,Someone Like You,True,https://www.whosampled.com/Adele/Someone-Like-You/,2011,21,0,85,0,0,0,3bNv3VuUOKgrf5hu3YcuRo,81,285240,55.60000000000001,31.9,2.81,89.3,0.0,67.00675518285581,9.96,29.4,british,81.449234,5.9742556
Adele,Rolling in the Deep,True,https://www.whosampled.com/Adele/Rolling-in-the-Deep/,2010,28,0,91,0,1,0,4OSBTYWVwsQhGLF9NHvIbR,81,228093,73.0,76.9,2.98,13.8,0.0,81.62124388539482,4.73,50.7,british,-12.52222,-18.500534
Sean Paul,She Doesn't Mind,True,https://www.whosampled.com/Sean-Paul/She-Doesn%27t-Mind/,2011,3,0,1,0,2,0,2wvMF4tLWrNRA9cM5fUuN0,1,229786,70.89999999999999,79.5,7.13,0.0503,0.00108,83.24714651758677,22.2,59.7,dance,-14.476473,-12.950076
Katy Perry,The One That Got Away,True,https://www.whosampled.com/Katy-Perry/The-One-That-Got-Away/,2010,5,0,34,0,7,0,4uQY80TKE1u4ZQZQKHzVEi,76,227333,69.1,79.5,3.55,0.0812,0.000102,86.71325413463778,15.6,87.6,dance,-10.51328,29.882835
David Guetta;Usher,Without You (feat. Usher),True,https://www.whosampled.com/David-Guetta/Without-You/,2011,6,0,20,0,4,0,3UN6cIn3VIyg0z1LCuFSum,70,208133,60.8,61.4,2.85,22.7,0.000406,88.0829256929886,15.7,40.2,edm,16.078516,-13.269766
The Black Keys,Lonely Boy,True,https://www.whosampled.com/The-Black-Keys/Lonely-Boy/,2011,0,0,14,0,0,0,5G1sTBGbZT5o4PNRc75RKI,73,193653,35.6,87.2,6.800000000000001,0.417,0.975,68.93547635686001,9.97,60.7,blues,-43.12321,-5.2305465
Selena Gomez & The Scene,Love You Like A Love Song,True,https://www.whosampled.com/Selena-Gomez/Love-You-Like-A-Love-Song/,2011,1,0,0,0,0,0,0laYHRpNTS6i8FXdupHkJ4,81,188453,85.8,67.80000000000001,4.69,7.61,0.0,87.41672490100163,7.41,92.2,dance,-3.5217576,41.81441
Young the Giant,Cough Syrup,True,https://www.whosampled.com/Young-the-Giant/Cough-Syrup/,2010,0,0,6,0,1,0,0kz60VCKOQrGfv7fpHqwyf,0,249520,53.3,72.1,4.17,3.38,0.000624,71.39529466573491,11.5,22.5,alt-rock,-69.324196,-10.856401
